Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-72.6,,,,,,19.9,,,,,,,
,2,,,,-72.7,,,,,,19.9,,,,-0.1,,,
,3,,,,-72.7,,,,,,19.9,,,,0,,,
,4,,,,-72.8,,,,,,19.9,,,,-0.1,,,
,5,,,,-72.8,,,,,,19.9,,,,0,,,
,6,,,,-72.8,,,,,,19.9,,,,0,,,
,7,,,,-72.8,,,,,,19.9,,,,0,,,
,8,,,,-72.9,,,,,,19.9,,,,-0.1,,,
,9,,,,-72.9,,,,,,19.9,,,,0,,,
,10,,,,-72.9,,,,,,19.9,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-73.1,,,,,,19.9,,,,,,
,1,0.001,,,,-73.2,,,0.001,,,19.9,,-0.1,,,,
,2,0.005,,,,-73.3,,,0.004,,,19.9,,-0.1,,,,
,3,0.011,,,,-73.1,,,0.006,,,19.9,,0.2,,,,
,4,0.0195,,,,-72.4,,,0.0085,,,19.9,,0.7,,,,
,5,0.0335,,,,-71,,,0.014,,,19.9,,1.4,,,,
,6,0.054,,,,-68.5,,,0.0205,,,19.9,,2.5,,,,
,7,0.0775,,,,-64.7,,,0.0235,,,19.9,,3.8,,,,
,8,0.1115,,,,-58.4,,,0.034,,,19.9,,6.3,,,,
,9,0.153,,,,-49.5,,,0.0415,,,19.9,,8.9,,,,
,10,0.2045,,,,-38.3,,,0.0515,,,19.9,,11.2,,,,
,11,0.2665,,,,-26.4,,,0.062,,,19.9,,11.9,,,,
,12,0.3405,,,,-13,,,0.074,,,19.9,,13.4,,,,
,13,0.4175,,,,0.1,,,0.077,,,19.9,,13.1,,,,
,14,0.5165,,,,18.2,,,0.099,,,19.9,,18.1,,,,
,15,0.6275,,,,42.6,,,0.111,,,19.9,,24.4,,,,
,16,0.753,,,,69.7,,,0.1255,,,19.9,,27.1,,,,
,17,0.861,,,,106,,,0.108,,,19.9,,36.3,,,,
,18,0.861,,,,122.2,,,0,,,19.9,,16.2,,,,
,19,0.8625,,,,123,,,0.0015,,,19.9,,0.8,,,,
,20,0.866,,,,123.6,,,0.0035,,,19.9,,0.6,,,,
,21,0.8715,,,,126.1,,,0.0055,,,19.9,,2.5,,,,
,22,0.8795,,,,129.3,,,0.008,,,19.9,,3.2,,,,
,23,0.8895,,,,134.4,,,0.01,,,19.9,,5.1,,,,
,24,0.901,,,,140.8,,,0.0115,,,19.9,,6.4,,,,
,25,0.909,,,,145.6,,,0.008,,,19.9,,4.8,,,,
,26,0.915,,,,150.1,,,0.006,,,19.9,,4.5,,,,
,27,0.92,,,,153,,,0.005,,,19.9,,2.9,,,,
,28,0.9255,,,,155.6,,,0.0055,,,20,,2.6,,,,
,29,0.932,,,,158.1,,,0.0065,,,19.9,,2.5,,,,
,30,0.94,,,,161.2,,,0.008,,,20,,3.1,,,,
,31,0.946,,,,163.7,,,0.006,,,20,,2.5,,,,
,32,0.9515,,,,166.2,,,0.0055,,,20,,2.5,,,,
,33,0.956,,,,168,,,0.0045,,,20,,1.8,,,,
,34,0.96,,,,169.3,,,0.004,,,20,,1.3,,,,
,35,0.965,,,,170.8,,,0.005,,,20,,1.5,,,,
,36,0.971,,,,172.3,,,0.006,,,20,,1.5,,,,
,37,0.976,,,,173.6,,,0.005,,,20,,1.3,,,,
,38,0.98,,,,174.9,,,0.004,,,20,,1.3,,,,
,39,0.983,,,,175.9,,,0.003,,,20,,1,,,,
,40,0.986,,,,176.7,,,0.003,,,20,,0.8,,,,
,41,0.9895,,,,177.3,,,0.0035,,,20,,0.6,,,,
,42,0.9935,,,,178.1,,,0.004,,,20,,0.8,,,,
,43,0.997,,,,178.8,,,0.0035,,,20,,0.7,,,,
,44,0.9995,,,,179.7,,,0.0025,,,20,,0.9,,,,
,45,1.0015,,,,180.2,,,0.002,,,20,,0.5,,,,
,46,1.004,,,,180.7,,,0.0025,,,20,,0.5,,,,
,47,1.0065,,,,181.3,,,0.0025,,,20,,0.6,,,,
,48,1.009,,,,181.7,,,0.0025,,,20,,0.4,,,,
,49,1.0105,,,,182.1,,,0.0015,,,20,,0.4,,,,
,50,1.011,,,,182.4,,,0.0005,,,20,,0.3,,,,
,51,1.0135,,,,182.6,,,0.0025,,,20,,0.2,,,,
,52,1.0155,,,,183,,,0.002,,,20,,0.4,,,,
,53,1.0155,,,,183.2,,,0,,,20,,0.2,,,,
,54,1.0165,,,,183.3,,,0.001,,,20,,0.1,,,,
,55,1.019,,,,183.5,,,0.0025,,,20,,0.2,,,,
,56,1.0205,,,,183.8,,,0.0015,,,20,,0.3,,,,
,,1.020833,,,,184,,,,,,,,,,,,EP
,57,1.021,,,,184.1,,,0.0005,,,20,,0.3,,,,
,58,1.021,,,,184.2,,,0,,,20,,0.1,,,,
,59,1.021,,,,184.2,,,0,,,20,,0,,,,
,60,1.021,,,,184.1,,,0,,,20,,-0.1,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,153,,,,,,20.3,,,,,,
,3,0.02,,,,160.8,,0.02,,,,20.3,,,,7.8,,
,6,0.04,,,,169.1,,0.02,,,,20.3,,,,8.3,,
,9,0.06,,,,175.6,,0.02,,,,20.3,,,,6.5,,
,12,0.08,,,,180.9,,0.02,,,,20.3,,,,5.3,,
,15,0.1,,,,185.4,,0.02,,,,20.3,,,,4.5,,
,18,0.12,,,,189.2,,0.02,,,,20.3,,,,3.8,,
,21,0.14,,,,192.5,,0.02,,,,20.3,,,,3.3,,
,24,0.16,,,,195.2,,0.02,,,,20.3,,,,2.7,,
,27,0.18,,,,197.6,,0.02,,,,20.3,,,,2.4,,
,30,0.2,,,,199.9,,0.02,,,,20.3,,,,2.3,,
,33,0.22,,,,202.1,,0.02,,,,20.3,,,,2.2,,
,36,0.24,,,,204.1,,0.02,,,,20.3,,,,2,,
,39,0.26,,,,205.9,,0.02,,,,20.3,,,,1.8,,
,42,0.28,,,,207.6,,0.02,,,,20.3,,,,1.7,,
,45,0.3,,,,209.2,,0.02,,,,20.3,,,,1.6,,
,48,0.32,,,,210.7,,0.02,,,,20.3,,,,1.5,,
,51,0.34,,,,212.1,,0.02,,,,20.3,,,,1.4,,
,54,0.36,,,,213.4,,0.02,,,,20.3,,,,1.3,,
,58,0.38,,,,214.5,,0.02,,,,20.3,,,,1.1,,
,60,0.4,,,,215.7,,0.02,,,,20.3,,,,1.2,,
,64,0.42,,,,216.8,,0.02,,,,20.3,,,,1.1,,
,66,0.44,,,,217.9,,0.02,,,,20.3,,,,1.1,,
,70,0.46,,,,219,,0.02,,,,20.3,,,,1.1,,
