sample id,sample mass,salinity,in situ temperature,ETris,pHTris,EHigh,ELow
SAC-1,51.534,30,25,-4.8,7,195.54,224.16
BaySTD2-1,50.166,30.34,14.11,-4.8,7,195.54,224.16
BaySTD2-2,50.598,30.34,14.11,-4.8,7,195.54,224.16
SAC-2,51.373,27,25,-4.8,7,195.54,224.16
T16-719-1,50.331,27.34,16,-4.8,7,195.54,224.16
T16-719-2,49.996,27.33,16,-4.8,7,195.54,224.16
T12-708-1,50.596,27.24,16.81,-4.8,7,195.54,224.16
T12-708-2,50.612,27.23,16.81,-4.8,7,195.54,224.16
SAC-3,51.261,25,25,-4.8,7,195.54,224.16
T6-708-1,50.878,25.14,18.5,-4.8,7,195.54,224.16
T6-708-2,50.678,25.13,18.5,-4.8,7,195.54,224.16
T20-708-1,50.616,25.21,18.56,-4.8,7,195.54,224.16
T20-708-2,50.83,25.2,18.56,-4.8,7,195.54,224.16
