"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"ctettelbach"," Blank"," no dye",0," Blank",-5e-04,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"ctettelbach"," BaySTD2"," no dye",0," Measurement 1",0.0613,0.0437,0.1171,0,30.34,14.11,1.33819139596137,1.34392852677788,7.98760041965044,7.8292103725255,7.98963026803639,7.83124022091145
"ctettelbach"," BaySTD2"," m-cresol added",0," Measurement 2",0.631,0.806,0.1173,80,30.34,14.11,NA,NA,NA,NA,NA,NA
"ctettelbach"," T16-719-1"," no dye",0," Measurement 1",0.0515,0.0397,0.1152,0,27.34,16,1.1178412279254,1.1209870407658,7.88081534031654,7.75077009531341,7.88213110895299,7.75208586394986
"ctettelbach"," T16-719-1"," m-cresol added",0," Measurement 2",0.657,0.7166,0.1148,80,27.34,16,NA,NA,NA,NA,NA,NA
"ctettelbach"," T16-719-2"," no dye",0," Measurement 1",0.0512,0.0398,0.1151,0,27.33,16,1.11409727947238,1.11719906347898,7.87926597821365,7.74922073321052,7.88056742324859,7.75052217824546
"ctettelbach"," T16-719-2"," m-cresol added",0," Measurement 2",0.6571,0.7149,0.1145,80,27.33,16,NA,NA,NA,NA,NA,NA
"ctettelbach"," T12-708-1"," no dye",0," Measurement 1",0.0563,0.042,0.1168,0,27.24,16.81,2.48652291105121,2.50576442048517,8.25763122160707,8.13962063339037,8.26157685275773,8.14356626454102
"ctettelbach"," T12-708-1"," m-cresol added",0," Measurement 2",0.5006,1.1481,0.1159,80,27.24,16.81,NA,NA,NA,NA,NA,NA
"ctettelbach"," T12-708-2"," no dye",0," Measurement 1",0.0564,0.0423,0.1167,0,27.23,16.81,2.49507896543832,2.51442109407187,8.25940991798391,8.1413993297672,8.26336491351211,8.1453543252954
"ctettelbach"," T12-708-2"," m-cresol added",0," Measurement 2",0.492,1.1311,0.1154,80,27.23,16.81,NA,NA,NA,NA,NA,NA
"ctettelbach"," T6-708-1"," no dye",0," Measurement 1",0.0624,0.0466,0.12,0,25.14,18.5,1.95846122365459,1.97149272764477,8.11731535734426,8.02419887950657,8.12058996031829,8.0274734824806
"ctettelbach"," T6-708-1"," m-cresol added",0," Measurement 2",0.5487,1.0013,0.1176,80,25.14,18.5,NA,NA,NA,NA,NA,NA
"ctettelbach"," T6-708-2"," no dye",0," Measurement 1",0.0614,0.0458,0.1195,0,25.13,18.5,1.92713618834991,1.9397993099249,8.10938665419119,8.0162701763535,8.11261382760137,8.01949734976368
"ctettelbach"," T6-708-2"," m-cresol added",0," Measurement 2",0.5517,0.9929,0.1171,80,25.13,18.5,NA,NA,NA,NA,NA,NA
"ctettelbach"," T20-708-1"," no dye",0," Measurement 1",0.0602,0.0446,0.1183,0,25.21,18.56,1.34373347435219,1.34953578001058,7.93423360568537,7.84199564031767,7.93627871386695,7.84404074849926
"ctettelbach"," T20-708-1"," m-cresol added",0," Measurement 2",0.6259,0.8053,0.1167,80,25.21,18.56,NA,NA,NA,NA,NA,NA
"ctettelbach"," T20-708-2"," no dye",0," Measurement 1",0.0618,0.0457,0.1194,0,25.2,18.56,1.35296210638676,1.35887294075787,7.93750368876013,7.84526572339243,7.93957396556481,7.84733600019711
"ctettelbach"," T20-708-2"," m-cresol added",0," Measurement 2",0.6214,0.8037,0.1169,80,25.2,18.56,NA,NA,NA,NA,NA,NA
