Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm,dyeV,salinity,temperature
ctettelbach, Blank, no dye,0, Blank,-0.0001,0,-0.0001,0,NA,NA
ctettelbach, BaySTD2, no dye,0, Measurement 1,0.0592,0.0423,0.1168,0,30.34,14.11
ctettelbach, BaySTD2, m-cresol added,0, Measurement 2,0.6283,0.8019,0.1159,80,30.34,14.11
ctettelbach, T21-714-1, no dye,0, Measurement 1,0.0498,0.0393,0.1153,0,27.05,15.25
ctettelbach, T21-714-1, m-cresol added,0, Measurement 2,0.6629,0.695,0.114,80,27.05,15.25
ctettelbach, T21-714-2, no dye,0, Measurement 1,0.05,0.0394,0.1152,0,27.04,15.26
ctettelbach, T21-714-2, m-cresol added,0, Measurement 2,0.6638,0.6889,0.1145,80,27.04,15.26
