Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-50.0,,,,,,17.0,,,,,,,
,2,,,,-50.0,,,,,,17.0,,,,0.0,,,
,3,,,,-50.0,,,,,,17.0,,,,0.0,,,
,4,,,,-50.0,,,,,,17.0,,,,0.0,,,
,5,,,,-50.0,,,,,,17.0,,,,0.0,,,
,6,,,,-50.0,,,,,,17.0,,,,0.0,,,
,7,,,,-50.0,,,,,,17.0,,,,0.0,,,
,8,,,,-50.0,,,,,,17.0,,,,0.0,,,
,9,,,,-50.0,,,,,,17.0,,,,0.0,,,
,10,,,,-50.0,,,,,,17.0,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,58,1.5785,,,,194.2,,,0.0030,,,17.1,,0.2,,,,
,59,1.5810,,,,194.5,,,0.0025,,,17.1,,0.3,,,,
,60,1.5830,,,,194.7,,,0.0020,,,17.1,,0.2,,,,
,61,1.5845,,,,194.9,,,0.0015,,,17.1,,0.2,,,,
,62,1.5855,,,,195.1,,,0.0010,,,17.1,,0.2,,,,
,63,1.5870,,,,195.2,,,0.0015,,,17.1,,0.1,,,,
,64,1.5900,,,,195.3,,,0.0030,,,17.1,,0.1,,,,
,65,1.5910,,,,195.6,,,0.0010,,,17.1,,0.3,,,,
,66,1.5925,,,,195.7,,,0.0015,,,17.1,,0.1,,,,
,67,1.5950,,,,195.9,,,0.0025,,,17.1,,0.2,,,,
,68,1.5965,,,,196.0,,,0.0015,,,17.1,,0.1,,,,
,,1.5965,,,,196.0,,,,,,,,,,,,EP
,69,1.5970,,,,196.2,,,0.0005,,,17.1,,0.2,,,,
,70,1.5970,,,,196.3,,,0.0000,,,17.1,,0.1,,,,
,71,1.5970,,,,196.2,,,0.0000,,,17.1,,-0.1,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,195.1,,,,,17.5,,,,,
,3,,0.0200,,,,,196.6,,0.0200,,,17.5,,,,1.5,
,6,,0.0400,,,,,198.5,,0.0200,,,17.5,,,,1.9,
,9,,0.0600,,,,,200.4,,0.0200,,,17.5,,,,1.9,
,12,,0.0800,,,,,202.3,,0.0200,,,17.5,,,,1.9,
,15,,0.1000,,,,,204.0,,0.0200,,,17.5,,,,1.7,
,18,,0.1200,,,,,205.6,,0.0200,,,17.5,,,,1.6,
,21,,0.1400,,,,,207.0,,0.0200,,,17.5,,,,1.4,
,24,,0.1600,,,,,208.3,,0.0200,,,17.5,,,,1.3,
,27,,0.1800,,,,,209.6,,0.0200,,,17.5,,,,1.3,
,30,,0.2000,,,,,210.8,,0.0200,,,17.5,,,,1.2,
,33,,0.2200,,,,,212.1,,0.0200,,,17.5,,,,1.3,
,36,,0.2400,,,,,213.3,,0.0200,,,17.5,,,,1.2,
,39,,0.2600,,,,,214.3,,0.0200,,,17.5,,,,1.0,
,42,,0.2800,,,,,215.4,,0.0200,,,17.5,,,,1.1,
,45,,0.3000,,,,,216.4,,0.0200,,,17.5,,,,1.0,
,48,,0.3200,,,,,217.4,,0.0200,,,17.5,,,,1.0,
,51,,0.3400,,,,,218.3,,0.0200,,,17.5,,,,0.9,
,54,,0.3600,,,,,219.2,,0.0200,,,17.5,,,,0.9,
,58,,0.3800,,,,,219.9,,0.0200,,,17.5,,,,0.7,
,60,,0.4000,,,,,220.8,,0.0200,,,17.5,,,,0.9,
,64,,0.4200,,,,,221.7,,0.0200,,,17.5,,,,0.9,
,66,,0.4400,,,,,222.5,,0.0200,,,17.5,,,,0.8,
,70,,0.4600,,,,,223.3,,0.0200,,,17.5,,,,0.8,
,72,,0.4800,,,,,224.0,,0.0200,,,17.5,,,,0.7,
,76,,0.5000,,,,,224.7,,0.0200,,,17.5,,,,0.7,
,78,,0.5200,,,,,225.4,,0.0200,,,17.5,,,,0.7,
,82,,0.5400,,,,,226.1,,0.0200,,,17.5,,,,0.7,
,85,,0.5600,,,,,226.7,,0.0200,,,17.5,,,,0.6,
,88,,0.5800,,,,,227.3,,0.0200,,,17.5,,,,0.6,
,91,,0.6000,,,,,227.9,,0.0200,,,17.5,,,,0.6,
,94,,0.6200,,,,,228.6,,0.0200,,,17.5,,,,0.7,
,97,,0.6400,,,,,229.2,,0.0200,,,17.5,,,,0.6,
,100,,0.6600,,,,,229.7,,0.0200,,,17.5,,,,0.5,
,103,,0.6800,,,,,230.3,,0.0200,,,17.5,,,,0.6,
,106,,0.7000,,,,,230.9,,0.0200,,,17.5,,,,0.6,
,109,,0.7200,,,,,231.4,,0.0200,,,17.5,,,,0.5,
,112,,0.7400,,,,,231.9,,0.0200,,,17.5,,,,0.5,
,115,,0.7600,,,,,232.4,,0.0200,,,17.5,,,,0.5,
,118,,0.7800,,,,,232.9,,0.0200,,,17.5,,,,0.5,
,121,,0.8000,,,,,233.5,,0.0200,,,17.5,,,,0.6,
,124,,0.8200,,,,,234.0,,0.0200,,,17.5,,,,0.5,
,127,,0.8400,,,,,234.5,,0.0200,,,17.5,,,,0.5,
,130,,0.8600,,,,,234.9,,0.0200,,,17.5,,,,0.4,
,133,,0.8800,,,,,235.4,,0.0200,,,17.5,,,,0.5,
,136,,0.9000,,,,,235.8,,0.0200,,,17.5,,,,0.4,
,139,,0.9200,,,,,236.4,,0.0200,,,17.5,,,,0.6,
,142,,0.9400,,,,,236.8,,0.0200,,,17.5,,,,0.4,
,145,,0.9600,,,,,237.2,,0.0200,,,17.5,,,,0.4,
,148,,0.9800,,,,,237.6,,0.0200,,,17.5,,,,0.4,
,151,,1.0000,,,,,238.0,,0.0200,,,17.5,,,,0.4,
,154,,1.0200,,,,,238.5,,0.0200,,,17.5,,,,0.5,
,157,,1.0400,,,,,238.9,,0.0200,,,17.5,,,,0.4,
,160,,1.0600,,,,,239.3,,0.0200,,,17.5,,,,0.4,
,163,,1.0800,,,,,239.6,,0.0200,,,17.5,,,,0.3,
,166,,1.1000,,,,,240.0,,0.0200,,,17.5,,,,0.4,
,169,,1.1200,,,,,240.4,,0.0200,,,17.5,,,,0.4,
,172,,1.1400,,,,,240.8,,0.0200,,,17.6,,,,0.4,
,175,,1.1600,,,,,241.2,,0.0200,,,17.6,,,,0.4,
,178,,1.1800,,,,,241.5,,0.0200,,,17.6,,,,0.3,
,181,,1.2000,,,,,241.9,,0.0200,,,17.6,,,,0.4,
,184,,1.2200,,,,,242.2,,0.0200,,,17.6,,,,0.3,
,187,,1.2400,,,,,242.5,,0.0200,,,17.6,,,,0.3,
,190,,1.2600,,,,,242.9,,0.0200,,,17.6,,,,0.4,
,193,,1.2800,,,,,243.2,,0.0200,,,17.6,,,,0.3,
,196,,1.3000,,,,,243.6,,0.0200,,,17.6,,,,0.4,
,199,,1.3200,,,,,243.9,,0.0200,,,17.6,,,,0.3,
,202,,1.3400,,,,,244.2,,0.0200,,,17.6,,,,0.3,
,205,,1.3600,,,,,244.5,,0.0200,,,17.6,,,,0.3,
,208,,1.3800,,,,,244.8,,0.0200,,,17.6,,,,0.3,
,212,,1.4000,,,,,245.2,,0.0200,,,17.6,,,,0.4,
,214,,1.4200,,,,,245.5,,0.0200,,,17.6,,,,0.3,
,218,,1.4400,,,,,245.8,,0.0200,,,17.6,,,,0.3,
,221,,1.4600,,,,,246.1,,0.0200,,,17.6,,,,0.3,
,224,,1.4800,,,,,246.4,,0.0200,,,17.6,,,,0.3,
,227,,1.5000,,,,,246.7,,0.0200,,,17.6,,,,0.3,
,230,,1.5200,,,,,247.0,,0.0200,,,17.6,,,,0.3,
,233,,1.5400,,,,,247.3,,0.0200,,,17.6,,,,0.3,
,236,,1.5600,,,,,247.5,,0.0200,,,17.6,,,,0.2,
,239,,1.5800,,,,,247.8,,0.0200,,,17.6,,,,0.3,
,242,,1.6000,,,,,248.1,,0.0200,,,17.6,,,,0.3,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-58.5,,,,,,17.0,,,,,,,
,2,,,,-58.5,,,,,,17.0,,,,0.0,,,
,3,,,,-58.5,,,,,,17.0,,,,0.0,,,
,4,,,,-58.5,,,,,,17.0,,,,0.0,,,
,5,,,,-58.5,,,,,,17.0,,,,0.0,,,
,6,,,,-58.5,,,,,,17.0,,,,0.0,,,
,7,,,,-58.6,,,,,,17.0,,,,-0.1,,,
,8,,,,-58.6,,,,,,17.0,,,,0.0,,,
,9,,,,-58.6,,,,,,17.0,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-58.7,,,,,,17.0,,,,,,
,1,0.0010,,,,-58.7,,,0.0010,,,17.0,,0.0,,,,
,2,0.0050,,,,-58.7,,,0.0040,,,17.0,,0.0,,,,
,3,0.0110,,,,-58.6,,,0.0060,,,17.0,,0.1,,,,
,4,0.0200,,,,-57.9,,,0.0090,,,17.0,,0.7,,,,
,5,0.0345,,,,-56.4,,,0.0145,,,17.0,,1.5,,,,
,6,0.0555,,,,-53.6,,,0.0210,,,17.0,,2.8,,,,
,7,0.0800,,,,-49.6,,,0.0245,,,17.0,,4.0,,,,
,8,0.1145,,,,-43.2,,,0.0345,,,17.0,,6.4,,,,
,9,0.1570,,,,-35.2,,,0.0425,,,17.0,,8.0,,,,
,10,0.2090,,,,-24.0,,,0.0520,,,17.0,,11.2,,,,
,11,0.2720,,,,-10.9,,,0.0630,,,17.0,,13.1,,,,
,12,0.3475,,,,2.5,,,0.0755,,,17.0,,13.4,,,,
,13,0.4255,,,,14.4,,,0.0780,,,17.0,,11.9,,,,
,14,0.5250,,,,30.8,,,0.0995,,,17.0,,16.4,,,,
,15,0.6380,,,,45.3,,,0.1130,,,17.0,,14.5,,,,
,16,0.7620,,,,61.0,,,0.1240,,,17.0,,15.7,,,,
,17,0.8990,,,,80.7,,,0.1370,,,17.0,,19.7,,,,
,18,1.0480,,,,98.1,,,0.1490,,,17.0,,17.4,,,,
,19,1.0925,,,,112.6,,,0.0445,,,17.0,,14.5,,,,
,20,1.0970,,,,106.1,,,0.0045,,,17.0,,-6.5,,,,
,21,1.1030,,,,101.6,,,0.0060,,,17.0,,-4.5,,,,
,22,1.1105,,,,101.0,,,0.0075,,,17.0,,-0.6,,,,
,23,1.1220,,,,103.5,,,0.0115,,,17.0,,2.5,,,,
,24,1.1390,,,,109.5,,,0.0170,,,17.0,,6.0,,,,
,25,1.1565,,,,113.3,,,0.0175,,,17.1,,3.8,,,,
,26,1.1795,,,,119.6,,,0.0230,,,17.1,,6.3,,,,
,27,1.2045,,,,127.3,,,0.0250,,,17.1,,7.7,,,,
,28,1.2295,,,,134.3,,,0.0250,,,17.1,,7.0,,,,
,29,1.2520,,,,142.4,,,0.0225,,,17.1,,8.1,,,,
,30,1.2655,,,,148.1,,,0.0135,,,17.1,,5.7,,,,
,31,1.2765,,,,152.5,,,0.0110,,,17.1,,4.4,,,,
,32,1.2890,,,,157.0,,,0.0125,,,17.1,,4.5,,,,
,33,1.3025,,,,160.7,,,0.0135,,,17.1,,3.7,,,,
,34,1.3165,,,,165.2,,,0.0140,,,17.1,,4.5,,,,
,35,1.3265,,,,169.0,,,0.0100,,,17.1,,3.8,,,,
,36,1.3330,,,,171.8,,,0.0065,,,17.1,,2.8,,,,
,37,1.3385,,,,173.5,,,0.0055,,,17.1,,1.7,,,,
,38,1.3460,,,,175.2,,,0.0075,,,17.1,,1.7,,,,
,39,1.3550,,,,176.8,,,0.0090,,,17.1,,1.6,,,,
,40,1.3655,,,,178.5,,,0.0105,,,17.1,,1.7,,,,
,41,1.3770,,,,180.4,,,0.0115,,,17.1,,1.9,,,,
,42,1.3890,,,,182.3,,,0.0120,,,17.1,,1.9,,,,
,43,1.3975,,,,184.0,,,0.0085,,,17.1,,1.7,,,,
,44,1.4040,,,,185.5,,,0.0065,,,17.1,,1.5,,,,
,45,1.4085,,,,186.5,,,0.0045,,,17.1,,1.0,,,,
,46,1.4135,,,,187.4,,,0.0050,,,17.1,,0.9,,,,
,47,1.4185,,,,188.2,,,0.0050,,,17.1,,0.8,,,,
,48,1.4245,,,,189.0,,,0.0060,,,17.1,,0.8,,,,
,49,1.4300,,,,189.7,,,0.0055,,,17.1,,0.7,,,,
,50,1.4350,,,,190.4,,,0.0050,,,17.1,,0.7,,,,
,51,1.4400,,,,191.0,,,0.0050,,,17.1,,0.6,,,,
,52,1.4440,,,,191.5,,,0.0040,,,17.1,,0.5,,,,
,53,1.4470,,,,192.1,,,0.0030,,,17.1,,0.6,,,,
,54,1.4495,,,,192.6,,,0.0025,,,17.1,,0.5,,,,
,55,1.4520,,,,192.9,,,0.0025,,,17.1,,0.3,,,,
,56,1.4545,,,,193.3,,,0.0025,,,17.1,,0.4,,,,
,57,1.4570,,,,193.5,,,0.0025,,,17.1,,0.2,,,,
,58,1.4600,,,,193.9,,,0.0030,,,17.1,,0.4,,,,
,59,1.4620,,,,194.2,,,0.0020,,,17.1,,0.3,,,,
,60,1.4640,,,,194.5,,,0.0020,,,17.1,,0.3,,,,
,61,1.4660,,,,194.7,,,0.0020,,,17.1,,0.2,,,,
,62,1.4680,,,,195.0,,,0.0020,,,17.1,,0.3,,,,
,63,1.4685,,,,195.2,,,0.0005,,,17.1,,0.2,,,,
,64,1.4705,,,,195.3,,,0.0020,,,17.1,,0.1,,,,
,65,1.4720,,,,195.5,,,0.0015,,,17.1,,0.2,,,,
,66,1.4735,,,,195.6,,,0.0015,,,17.1,,0.1,,,,
,67,1.4745,,,,195.8,,,0.0010,,,17.1,,0.2,,,,
,68,1.4765,,,,195.9,,,0.0020,,,17.1,,0.1,,,,
,,1.4770,,,,196.0,,,,,,,,,,,,EP
,69,1.4775,,,,196.1,,,0.0010,,,17.1,,0.2,,,,
,70,1.4775,,,,196.3,,,0.0000,,,17.1,,0.2,,,,
,71,1.4775,,,,196.3,,,0.0000,,,17.1,,0.0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,196.3,,,,,17.4,,,,,
,3,,0.0200,,,,,197.8,,0.0200,,,17.4,,,,1.5,
,6,,0.0400,,,,,199.7,,0.0200,,,17.4,,,,1.9,
,9,,0.0600,,,,,201.4,,0.0200,,,17.4,,,,1.7,
,12,,0.0800,,,,,203.2,,0.0200,,,17.4,,,,1.8,
,15,,0.1000,,,,,204.8,,0.0200,,,17.4,,,,1.6,
,18,,0.1200,,,,,206.3,,0.0200,,,17.4,,,,1.5,
,21,,0.1400,,,,,207.6,,0.0200,,,17.4,,,,1.3,
,24,,0.1600,,,,,208.9,,0.0200,,,17.4,,,,1.3,
,27,,0.1800,,,,,210.1,,0.0200,,,17.4,,,,1.2,
,30,,0.2000,,,,,211.3,,0.0200,,,17.4,,,,1.2,
,33,,0.2200,,,,,212.5,,0.0200,,,17.4,,,,1.2,
,36,,0.2400,,,,,213.6,,0.0200,,,17.4,,,,1.1,
,39,,0.2600,,,,,214.7,,0.0200,,,17.4,,,,1.1,
,42,,0.2800,,,,,215.7,,0.0200,,,17.4,,,,1.0,
,45,,0.3000,,,,,216.7,,0.0200,,,17.4,,,,1.0,
,48,,0.3200,,,,,217.7,,0.0200,,,17.4,,,,1.0,
,51,,0.3400,,,,,218.5,,0.0200,,,17.4,,,,0.8,
,54,,0.3600,,,,,219.4,,0.0200,,,17.4,,,,0.9,
,57,,0.3800,,,,,220.2,,0.0200,,,17.4,,,,0.8,
,60,,0.4000,,,,,220.9,,0.0200,,,17.4,,,,0.7,
,63,,0.4200,,,,,221.7,,0.0200,,,17.4,,,,0.8,
,66,,0.4400,,,,,222.4,,0.0200,,,17.4,,,,0.7,
,70,,0.4600,,,,,223.2,,0.0200,,,17.4,,,,0.8,
,72,,0.4800,,,,,223.9,,0.0200,,,17.4,,,,0.7,
,76,,0.5000,,,,,224.6,,0.0200,,,17.4,,,,0.7,
,79,,0.5200,,,,,225.4,,0.0200,,,17.4,,,,0.8,
,82,,0.5400,,,,,226.1,,0.0200,,,17.4,,,,0.7,
,85,,0.5600,,,,,226.6,,0.0200,,,17.4,,,,0.5,
,88,,0.5800,,,,,227.2,,0.0200,,,17.4,,,,0.6,
,91,,0.6000,,,,,227.8,,0.0200,,,17.4,,,,0.6,
,94,,0.6200,,,,,228.4,,0.0200,,,17.4,,,,0.6,
,97,,0.6400,,,,,229.0,,0.0200,,,17.4,,,,0.6,
,100,,0.6600,,,,,229.6,,0.0200,,,17.4,,,,0.6,
,103,,0.6800,,,,,230.2,,0.0200,,,17.4,,,,0.6,
,106,,0.7000,,,,,230.7,,0.0200,,,17.4,,,,0.5,
,109,,0.7200,,,,,231.2,,0.0200,,,17.4,,,,0.5,
,112,,0.7400,,,,,231.8,,0.0200,,,17.4,,,,0.6,
,115,,0.7600,,,,,232.2,,0.0200,,,17.4,,,,0.4,
,118,,0.7800,,,,,232.7,,0.0200,,,17.4,,,,0.5,
,121,,0.8000,,,,,233.1,,0.0200,,,17.4,,,,0.4,
,124,,0.8200,,,,,233.7,,0.0200,,,17.4,,,,0.6,
,127,,0.8400,,,,,234.2,,0.0200,,,17.4,,,,0.5,
,130,,0.8600,,,,,234.7,,0.0200,,,17.4,,,,0.5,
,133,,0.8800,,,,,235.1,,0.0200,,,17.4,,,,0.4,
,136,,0.9000,,,,,235.6,,0.0200,,,17.4,,,,0.5,
,139,,0.9200,,,,,236.0,,0.0200,,,17.4,,,,0.4,
,142,,0.9400,,,,,236.4,,0.0200,,,17.4,,,,0.4,
,145,,0.9600,,,,,236.9,,0.0200,,,17.4,,,,0.5,
,148,,0.9800,,,,,237.2,,0.0200,,,17.4,,,,0.3,
,151,,1.0000,,,,,237.7,,0.0200,,,17.4,,,,0.5,
,154,,1.0200,,,,,238.1,,0.0200,,,17.4,,,,0.4,
,157,,1.0400,,,,,238.5,,0.0200,,,17.4,,,,0.4,
,160,,1.0600,,,,,238.8,,0.0200,,,17.5,,,,0.3,
,163,,1.0800,,,,,239.2,,0.0200,,,17.5,,,,0.4,
,166,,1.1000,,,,,239.6,,0.0200,,,17.5,,,,0.4,
,169,,1.1200,,,,,240.0,,0.0200,,,17.5,,,,0.4,
,172,,1.1400,,,,,240.3,,0.0200,,,17.5,,,,0.3,
,175,,1.1600,,,,,240.7,,0.0200,,,17.5,,,,0.4,
,178,,1.1800,,,,,241.0,,0.0200,,,17.5,,,,0.3,
,181,,1.2000,,,,,241.3,,0.0200,,,17.5,,,,0.3,
,184,,1.2200,,,,,241.7,,0.0200,,,17.5,,,,0.4,
,187,,1.2400,,,,,242.1,,0.0200,,,17.5,,,,0.4,
,190,,1.2600,,,,,242.4,,0.0200,,,17.5,,,,0.3,
,193,,1.2800,,,,,242.8,,0.0200,,,17.5,,,,0.4,
,196,,1.3000,,,,,243.1,,0.0200,,,17.5,,,,0.3,
,199,,1.3200,,,,,243.4,,0.0200,,,17.5,,,,0.3,
,202,,1.3400,,,,,243.8,,0.0200,,,17.5,,,,0.4,
,205,,1.3600,,,,,244.0,,0.0200,,,17.5,,,,0.2,
,208,,1.3800,,,,,244.3,,0.0200,,,17.5,,,,0.3,
,211,,1.4000,,,,,244.6,,0.0200,,,17.5,,,,0.3,
,214,,1.4200,,,,,244.9,,0.0200,,,17.5,,,,0.3,
,217,,1.4400,,,,,245.2,,0.0200,,,17.5,,,,0.3,
,220,,1.4600,,,,,245.5,,0.0200,,,17.5,,,,0.3,
,223,,1.4800,,,,,245.8,,0.0200,,,17.5,,,,0.3,
,226,,1.5000,,,,,246.1,,0.0200,,,17.5,,,,0.3,
,229,,1.5200,,,,,246.4,,0.0200,,,17.5,,,,0.3,
,232,,1.5400,,,,,246.7,,0.0200,,,17.5,,,,0.3,
,235,,1.5600,,,,,247.0,,0.0200,,,17.5,,,,0.3,
,238,,1.5800,,,,,247.1,,0.0200,,,17.5,,,,0.1,
,242,,1.6000,,,,,247.5,,0.0200,,,17.5,,,,0.4,
,244,,1.6200,,,,,247.7,,0.0200,,,17.5,,,,0.2,
,248,,1.6400,,,,,248.0,,0.0200,,,17.5,,,,0.3,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-59.2,,,,,,17.1,,,,,,,
,2,,,,-59.2,,,,,,17.1,,,,0.0,,,
,3,,,,-59.2,,,,,,17.1,,,,0.0,,,
,4,,,,-59.2,,,,,,17.1,,,,0.0,,,
,5,,,,-59.2,,,,,,17.1,,,,0.0,,,
,6,,,,-59.2,,,,,,17.1,,,,0.0,,,
,7,,,,-59.2,,,,,,17.1,,,,0.0,,,
,8,,,,-59.2,,,,,,17.1,,,,0.0,,,
,9,,,,-59.2,,,,,,17.1,,,,0.0,,,
