"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.6175,207.6,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.6375,208.9,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.6575,210.1,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.6775,211.3,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.6975,212.5,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.7175,213.6,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.7375,214.7,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.7575,215.7,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.7775,216.7,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.7975,217.7,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.8175,218.5,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.8375,219.4,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.8575,220.2,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.8775,220.9,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.8975,221.7,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.9175,222.4,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.9375,223.2,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.9575,223.9,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.9775,224.6,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
1.9975,225.4,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.0175,226.1,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.0375,226.6,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.0575,227.2,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.0775,227.8,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.0975,228.4,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.1175,229,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.1375,229.6,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.1575,230.2,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.1775,230.7,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.1975,231.2,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.2175,231.8,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.2375,232.2,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.2575,232.7,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.2775,233.1,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.2975,233.7,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.3175,234.2,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.3375,234.7,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.3575,235.1,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.3775,235.6,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
2.3975,236,17.4,"P-0078-1",57.218,30.2,14,7.4,7,207.565,236.16
