Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.9,,,,,,21.3,,,,,,,
,2,,,,-76.9,,,,,,21.3,,,,0.0,,,
,3,,,,-76.9,,,,,,21.3,,,,0.0,,,
,4,,,,-76.9,,,,,,21.3,,,,0.0,,,
,5,,,,-77.0,,,,,,21.3,,,,-0.1,,,
,6,,,,-77.0,,,,,,21.3,,,,0.0,,,
,7,,,,-77.0,,,,,,21.3,,,,0.0,,,
,8,,,,-77.1,,,,,,21.3,,,,-0.1,,,
,9,,,,-77.1,,,,,,21.3,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,154.3,,,,,21.8,,,,,
,3,,0.0200,,,,,162.8,,0.0200,,,21.8,,,,8.5,
,6,,0.0400,,,,,170.6,,0.0200,,,21.9,,,,7.8,
,9,,0.0600,,,,,177.0,,0.0200,,,21.9,,,,6.4,
,12,,0.0800,,,,,182.3,,0.0200,,,21.9,,,,5.3,
,15,,0.1000,,,,,186.8,,0.0200,,,21.9,,,,4.5,
,18,,0.1200,,,,,190.4,,0.0200,,,21.9,,,,3.6,
,21,,0.1400,,,,,193.7,,0.0200,,,21.9,,,,3.3,
,24,,0.1600,,,,,196.2,,0.0200,,,21.9,,,,2.5,
,27,,0.1800,,,,,198.8,,0.0200,,,21.9,,,,2.6,
,30,,0.2000,,,,,201.1,,0.0200,,,21.9,,,,2.3,
,33,,0.2200,,,,,203.2,,0.0200,,,21.9,,,,2.1,
,36,,0.2400,,,,,205.1,,0.0200,,,21.9,,,,1.9,
,39,,0.2600,,,,,207.0,,0.0200,,,21.9,,,,1.9,
,42,,0.2800,,,,,208.7,,0.0200,,,21.9,,,,1.7,
,45,,0.3000,,,,,210.4,,0.0200,,,21.9,,,,1.7,
,48,,0.3200,,,,,211.9,,0.0200,,,21.9,,,,1.5,
,51,,0.3400,,,,,213.3,,0.0200,,,21.9,,,,1.4,
,54,,0.3600,,,,,214.6,,0.0200,,,21.9,,,,1.3,
,58,,0.3800,,,,,215.7,,0.0200,,,21.9,,,,1.1,
,60,,0.4000,,,,,216.9,,0.0200,,,21.9,,,,1.2,
,64,,0.4200,,,,,218.0,,0.0200,,,21.9,,,,1.1,
,66,,0.4400,,,,,219.1,,0.0200,,,21.9,,,,1.1,
,70,,0.4600,,,,,220.2,,0.0200,,,21.9,,,,1.1,
,72,,0.4800,,,,,221.2,,0.0200,,,21.9,,,,1.0,
,76,,0.5000,,,,,222.2,,0.0200,,,21.9,,,,1.0,
,78,,0.5200,,,,,223.2,,0.0200,,,21.9,,,,1.0,
,82,,0.5400,,,,,224.1,,0.0200,,,21.9,,,,0.9,
,85,,0.5600,,,,,224.9,,0.0200,,,21.9,,,,0.8,
,88,,0.5800,,,,,225.7,,0.0200,,,21.9,,,,0.8,
,91,,0.6000,,,,,226.5,,0.0200,,,21.9,,,,0.8,
,94,,0.6200,,,,,227.3,,0.0200,,,21.9,,,,0.8,
,97,,0.6400,,,,,228.1,,0.0200,,,21.9,,,,0.8,
,100,,0.6600,,,,,228.8,,0.0200,,,21.9,,,,0.7,
,103,,0.6800,,,,,229.5,,0.0200,,,21.9,,,,0.7,
,106,,0.7000,,,,,230.3,,0.0200,,,21.9,,,,0.8,
,109,,0.7200,,,,,230.9,,0.0200,,,21.9,,,,0.6,
,112,,0.7400,,,,,231.6,,0.0200,,,21.9,,,,0.7,
,115,,0.7600,,,,,232.2,,0.0200,,,21.9,,,,0.6,
,118,,0.7800,,,,,232.8,,0.0200,,,21.9,,,,0.6,
,121,,0.8000,,,,,233.4,,0.0200,,,21.9,,,,0.6,
,124,,0.8200,,,,,234.0,,0.0200,,,21.9,,,,0.6,
,127,,0.8400,,,,,234.6,,0.0200,,,22.0,,,,0.6,
,130,,0.8600,,,,,235.2,,0.0200,,,22.0,,,,0.6,
,133,,0.8800,,,,,235.8,,0.0200,,,22.0,,,,0.6,
,136,,0.9000,,,,,236.3,,0.0200,,,22.0,,,,0.5,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-61.9,,,,,,21.9,,,,,,,
,2,,,,-61.9,,,,,,21.9,,,,0.0,,,
,3,,,,-61.9,,,,,,21.9,,,,0.0,,,
,4,,,,-61.9,,,,,,21.9,,,,0.0,,,
,5,,,,-61.9,,,,,,21.9,,,,0.0,,,
,6,,,,-62.0,,,,,,21.9,,,,-0.1,,,
,7,,,,-62.0,,,,,,21.9,,,,0.0,,,
,8,,,,-62.0,,,,,,21.9,,,,0.0,,,
,9,,,,-62.0,,,,,,21.9,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-62.0,,,,,,21.9,,,,,,
,1,0.0010,,,,-62.1,,,0.0010,,,21.9,,-0.1,,,,
,2,0.0050,,,,-62.1,,,0.0040,,,21.9,,0.0,,,,
,3,0.0110,,,,-61.8,,,0.0060,,,21.9,,0.3,,,,
,4,0.0195,,,,-61.0,,,0.0085,,,21.9,,0.8,,,,
,5,0.0335,,,,-59.6,,,0.0140,,,21.9,,1.4,,,,
,6,0.0540,,,,-57.1,,,0.0205,,,21.9,,2.5,,,,
,7,0.0780,,,,-53.8,,,0.0240,,,21.9,,3.3,,,,
,8,0.1120,,,,-48.1,,,0.0340,,,21.9,,5.7,,,,
,9,0.1535,,,,-39.7,,,0.0415,,,21.9,,8.4,,,,
,10,0.2050,,,,-29.6,,,0.0515,,,21.9,,10.1,,,,
,11,0.2670,,,,-18.0,,,0.0620,,,21.9,,11.6,,,,
,12,0.3415,,,,-7.8,,,0.0745,,,21.9,,10.2,,,,
,13,0.4180,,,,3.9,,,0.0765,,,21.9,,11.7,,,,
,14,0.5165,,,,17.2,,,0.0985,,,21.9,,13.3,,,,
,15,0.6280,,,,31.3,,,0.1115,,,21.9,,14.1,,,,
,16,0.7530,,,,49.4,,,0.1250,,,21.9,,18.1,,,,
,17,0.8900,,,,72.4,,,0.1370,,,21.9,,23.0,,,,
,18,1.0060,,,,99.0,,,0.1160,,,21.9,,26.6,,,,
,19,1.0065,,,,107.6,,,0.0005,,,21.9,,8.6,,,,
,20,1.0095,,,,105.4,,,0.0030,,,21.9,,-2.2,,,,
,21,1.0140,,,,106.5,,,0.0045,,,21.9,,1.1,,,,
,22,1.0210,,,,108.7,,,0.0070,,,21.9,,2.2,,,,
,23,1.0310,,,,111.9,,,0.0100,,,21.9,,3.2,,,,
,24,1.0440,,,,115.6,,,0.0130,,,21.9,,3.7,,,,
,25,1.0585,,,,121.8,,,0.0145,,,21.9,,6.2,,,,
,26,1.0760,,,,127.8,,,0.0175,,,21.9,,6.0,,,,
,27,1.0935,,,,134.6,,,0.0175,,,21.9,,6.8,,,,
,28,1.1070,,,,141.7,,,0.0135,,,21.9,,7.1,,,,
,29,1.1145,,,,147.0,,,0.0075,,,21.9,,5.3,,,,
,30,1.1195,,,,149.9,,,0.0050,,,22.0,,2.9,,,,
,31,1.1240,,,,152.6,,,0.0045,,,22.0,,2.7,,,,
,32,1.1305,,,,155.5,,,0.0065,,,22.0,,2.9,,,,
,33,1.1380,,,,158.4,,,0.0075,,,22.0,,2.9,,,,
,34,1.1455,,,,161.7,,,0.0075,,,22.0,,3.3,,,,
,35,1.1515,,,,164.2,,,0.0060,,,22.0,,2.5,,,,
,36,1.1565,,,,166.2,,,0.0050,,,22.0,,2.0,,,,
,37,1.1605,,,,168.1,,,0.0040,,,22.0,,1.9,,,,
,38,1.1650,,,,169.6,,,0.0045,,,22.0,,1.5,,,,
,39,1.1705,,,,170.9,,,0.0055,,,22.0,,1.3,,,,
,40,1.1760,,,,172.5,,,0.0055,,,22.0,,1.6,,,,
