Analyst,Sample.ID,Sample.Tag,Notes1,Type,X434.nm,X578.nm,X730.nm,dyeV,salinity,temperature,a1a2,a1a2crct,pH_is,pH_a,pH_is_crct,pH_a_crct
BR-RH, ACID-5-3-B, no dye,0, Measurement 1,0.0606,0.0496,0.1232,0,29.5,13.4,0.615418182,0.6126555,7.640139264,7.471004555,7.638088424,7.468953715
BR-RH, ACID-5-3-B, m-cresol added,0, Measurement 2,0.7481,0.4727,0.1232,80,29.5,13.4,NA,NA,NA,NA,NA,NA
BR-RH, BAYSTD-BATCH-1-G, no dye,0, Measurement 1,0.0959,0.0714,0.1374,0,27.53,11.92,0.960675932,0.961973481,7.871467859,7.679763763,7.872094111,7.680390014
BR-RH, BAYSTD-BATCH-1-G, m-cresol added,0, Measurement 2,0.7282,0.6788,0.1365,80,27.53,11.92,NA,NA,NA,NA,NA,NA
BR-RH, Blank, no dye,0, Blank,0,0,-1.00E-04,0,NA,NA,NA,NA,NA,NA,NA,NA
BR-RH, ACID-4-1-1, no dye,0, Measurement 1,0.0543,0.0455,0.1195,0,27.7,13.3,0.933814103,0.934795756,7.836909545,7.666257224,7.837396301,7.666743979
BR-RH, ACID-4-1-1, m-cresol added,0, Measurement 2,0.6788,0.6287,0.12,80,27.7,13.3,NA,NA,NA,NA,NA,NA
BR-RH, ACID-4-2-2, no dye,0, Measurement 1,0.0507,0.043,0.1176,0,27.7,13.3,0.934744268,0.935736861,7.837370782,7.666718461,7.837862494,7.667210173
BR-RH, ACID-4-2-2, m-cresol added,0, Measurement 2,0.6761,0.6277,0.1193,80,27.7,13.3,NA,NA,NA,NA,NA,NA
BR-RH, ACID-4-3-3, no dye,0, Measurement 1,0.0533,0.0459,0.1203,0,27.7,13.3,0.934214822,0.935201188,7.837108302,7.666455981,7.837597193,7.666944872
BR-RH, ACID-4-3-3, m-cresol added,0, Measurement 2,0.6653,0.6176,0.1197,80,27.7,13.3,NA,NA,NA,NA,NA,NA
BR-RH, ACID-2-1-4, no dye,0, Measurement 1,0.0645,0.0518,0.1247,0,27.6,14.5,0.901315789,0.901915263,7.802584038,7.650073418,7.802891511,7.650380891
BR-RH, ACID-2-1-4, m-cresol added,0, Measurement 2,0.7024,0.6267,0.1242,80,27.6,14.5,NA,NA,NA,NA,NA,NA
BR-RH, ACID-2-2-E, no dye,0, Measurement 1,0.0589,0.0475,0.121,0,27.6,14.5,0.907627937,0.908301641,7.805811862,7.653301243,7.806155112,7.653644492
BR-RH, ACID-2-2-E, m-cresol added,0, Measurement 2,0.6802,0.6114,0.1209,80,27.6,14.5,NA,NA,NA,NA,NA,NA
BR-RH, ACID-2-3-B, no dye,0, Measurement 1,0.068,0.0544,0.127,0,27.6,14.5,0.907231438,0.90790048,7.805609735,7.653099115,7.805950751,7.653440131
BR-RH, ACID-2-3-B, m-cresol added,0, Measurement 2,0.6889,0.6177,0.127,80,27.6,14.5,NA,NA,NA,NA,NA,NA
BR-RH, ACID-6-1-C, no dye,0, Measurement 1,0.0576,0.0494,0.1229,0,26.7,14.1,0.06658581,0.057368859,6.612408681,6.453867669,6.539307115,6.380766103
BR-RH, ACID-6-1-C, m-cresol added,0, Measurement 2,0.8811,0.1033,0.1219,80,26.7,14.1,NA,NA,NA,NA,NA,NA
BR-RH, ACID-6-2-D, no dye,0, Measurement 1,0.0551,0.0476,0.1215,0,26.7,14.1,0.065472729,0.056242689,6.604202599,6.445661587,6.52947508,6.370934069
BR-RH, ACID-6-2-D, m-cresol added,0, Measurement 2,0.9114,0.1003,0.1179,80,26.7,14.1,NA,NA,NA,NA,NA,NA
BR-RH, ACID-6-3-G, no dye,0, Measurement 1,0.0599,0.0507,0.1231,0,26.7,14.1,0.065664654,0.056436871,6.605628578,6.447087567,6.531186252,6.372645241
BR-RH, ACID-6-3-G, m-cresol added,0, Measurement 2,0.8709,0.1033,0.1224,80,26.7,14.1,NA,NA,NA,NA,NA,NA
BR-RH, BAYSTD1-BATCH1-1-17FEB2020, no dye,0, Measurement 1,4.2951,3.751,3.399,0,27.53,11.92,0.221195414,0.213796672,7.203071873,7.011367777,7.18761676,6.995912663
BR-RH, BAYSTD1-BATCH1-1-17FEB2020, m-cresol added,0, Measurement 2,10,5.0062,3.3904,80,27.53,11.92,NA,NA,NA,NA,NA,NA
BR-RH, BAYSTD2-BATCH1-2-17FEB2020, no dye,0, Measurement 1,0.0751,0.0562,0.1254,0,27.53,11.92,0.948034136,0.949183017,7.865324153,7.673620056,7.865885684,7.674181588
BR-RH, BAYSTD2-BATCH1-2-17FEB2020, m-cresol added,0, Measurement 2,0.7316,0.6786,0.1257,80,27.53,11.92,NA,NA,NA,NA,NA,NA
RH; BR, Blank, no dye,0, Blank,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
RH; BR, AMB-1-1-1, no dye,0, Measurement 1,0.0624,0.0501,0.1234,0,29.4,13.2,0.907368759,0.908039416,7.821542121,7.649371128,7.821883911,7.649712918
RH; BR, AMB-1-1-1, m-cresol added,0, Measurement 2,0.6876,0.6176,0.1257,80,29.4,13.2,NA,NA,NA,NA,NA,NA
RH; BR, AMB-1-2-2, no dye,0, Measurement 1,0.0589,0.0474,0.1214,0,29.4,13.2,0.910752688,0.91146314,7.823264245,7.651093252,7.82362503,7.651454037
RH; BR, AMB-1-2-2, m-cresol added,0, Measurement 2,0.7093,0.6397,0.1208,80,29.4,13.2,NA,NA,NA,NA,NA,NA
RH; BR, AMB-1-3-3, no dye,0, Measurement 1,0.0594,0.049,0.1219,0,29.4,13.2,0.910950662,0.911663442,7.823364808,7.651193815,7.823726701,7.651555708
RH; BR, AMB-1-3-3, m-cresol added,0, Measurement 2,0.724,0.6544,0.1217,80,29.4,13.2,NA,NA,NA,NA,NA,NA
RH; BR, ACID-1-1-4, no dye,0, Measurement 1,0.1206,0.1041,0.1682,0,29.3,13.4,0.442699321,0.437905465,7.490931102,7.321796393,7.48599913,7.316864421
RH; BR, ACID-1-1-4, m-cresol added,0, Measurement 2,0.8722,0.437,0.1685,80,29.3,13.4,NA,NA,NA,NA,NA,NA
RH; BR, ACID-1-2-E, no dye,0, Measurement 1,0.164,0.1386,0.2012,0,29.3,13.4,1.696445543,1.706395742,8.114289049,7.94515434,8.117127468,7.947992759
RH; BR, ACID-1-2-E, m-cresol added,0, Measurement 2,0.6903,1.0313,0.2014,80,29.3,13.4,NA,NA,NA,NA,NA,NA
