s,Analyst,Sample.ID,Sample.Tag,Notes1,Type,X434.nm,X578.nm,X730.nm,dyeV,salinity,temperature,a1a2,a1a2crct,pH_is,pH_a,pH_is_crct,pH_a_crct
9,CWRH, R3T1-1-4, m-cresol added,0, Measurement 2,0.6053,0.6842,0.1205,80,26.2,15.1,NA,NA,NA,NA,NA,NA
10,CWRH, R3T1-2-E, no dye,0, Measurement 1,0.0622,0.0474,0.1196,0,26.2,15.1,1.1649768,1.168676927,7.916034553,7.77253814,7.917523441,7.774027029
11,CWRH, R3T1-2-E, m-cresol added,0, Measurement 2,0.6451,0.7263,0.1206,80,26.2,15.1,NA,NA,NA,NA,NA,NA
12,CWRH, R3T1-3-G, no dye,0, Measurement 1,0.0607,0.0468,0.1191,0,26.2,15.1,1.159587702,1.163224454,7.913858147,7.770361734,7.915327892,7.771831479
13,CWRH, R3T1-3-G, m-cresol added,0, Measurement 2,0.6235,0.6994,0.1192,80,26.2,15.1,NA,NA,NA,NA,NA,NA
1,CWRH, Blank, no dye,0, Blank,1.00E-04,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2,CWRH, R2T1-1-1, no dye,0, Measurement 1,0.0665,0.05,0.1226,0,26.4,14.7,1.078157937,1.080837075,7.885353,7.735851292,7.886512308,7.7370106
3,CWRH, R2T1-1-1, m-cresol added,0, Measurement 2,0.6844,0.7161,0.1238,80,26.4,14.7,NA,NA,NA,NA,NA,NA
4,CWRH, R2T1-2-2, no dye,0, Measurement 1,0.2864,0.2353,0.2751,0,26.4,14.7,1.079050042,1.081739671,7.885739329,7.73623762,7.88690227,7.737400562
5,CWRH, R2T1-2-2, m-cresol added,0, Measurement 2,0.8615,0.857,0.2607,80,26.4,14.7,NA,NA,NA,NA,NA,NA
6,CWRH, R2T1-3-3, no dye,0, Measurement 1,0.0761,0.0574,0.1291,0,26.4,14.7,1.083502024,1.086244008,7.887662808,7.7381611,7.888843801,7.739342092
7,CWRH, R2T1-3-3, m-cresol added,0, Measurement 2,0.6702,0.701,0.1304,80,26.4,14.7,NA,NA,NA,NA,NA,NA
8,CWRH, R2T1-3-3-1, no dye,0, Measurement 1,0.0761,0.0574,0.1291,0,26.4,14.7,1.071946694,1.07715888,7.882654867,7.733153159,7.88492,7.735418292
9,CWRH, R2T1-3-3-1,m-cresol added twice,0, Measurement 1,1.2632,1.3298,0.1306,160,26.4,14.7,NA,NA,NA,NA,NA,NA
10,CWRH, R2T2-1-4-1,no dye,0, Measurement 2,0.2381,0.195,0.2455,0,26.4,14.6,0.349699945,0.343812417,7.372194357,7.221188716,7.364513997,7.213508356
11,CWRH, R2T2-1-4-1, m-cresol added,0, Measurement 1,0.9664,0.4465,0.2406,80,26.4,14.6,NA,NA,NA,NA,NA,NA
12,CWRH, R2T2-2-E, no dye,0, Measurement 1,0.0616,0.0471,0.1204,0,26.4,14.6,0.257507082,0.250535365,7.233699494,7.082693853,7.221261818,7.070256177
13,CWRH, R2T2-2-E, m-cresol added,0, Measurement 2,0.7694,0.2307,0.1222,80,26.4,14.6,NA,NA,NA,NA,NA,NA
14,CWRH, R2T2-3-G, no dye,0, Measurement 1,0.0624,0.048,0.121,0,26.4,14.6,0.246474232,0.239372769,7.213854046,7.062848405,7.200598006,7.049592365
15,CWRH, R2T2-3-G, m-cresol added,0, Measurement 2,0.8218,0.2357,0.1217,80,26.4,14.6,NA,NA,NA,NA,NA,NA
16,CWRH, DIC-01-27-2020-C, no dye,0, Measurement 1,0.0353,0.0362,0.1127,0,35,25,2.19038543,2.206144363,8.059052302,8.059052302,8.062647639,8.062647639
17,CWRH, DIC-01-27-2020-C, m-cresol added,0, Measurement 2,0.5087,1.0717,0.1139,80,35,25,NA,NA,NA,NA,NA,NA
1,CW, Blank, no dye,0, Blank,-3.00E-04,-2.00E-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA
