"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","mS","Ohm*cm","g/L","ppt","psir","meters","","mV","NTU","ug/L","RFU","%","mg/L","volts"
"2021/01/31","01:55:12",10.77,44001,32.03,31.2119,28.60,28.28,1.102,0.760,7.84,-62.1,12.8,1.50,0.34,93.5,8.67,12.5
"2021/01/31","02:01:12",10.77,43972,32.02,31.2299,28.58,28.26,1.054,0.726,7.83,-62.0,14.1,2.58,0.59,93.5,8.66,12.4
"2021/01/31","02:07:12",10.77,43865,31.94,31.3044,28.51,28.19,1.024,0.706,7.83,-62.0,14.5,1.81,0.42,93.6,8.67,12.4
"2021/01/31","02:13:13",10.78,43855,31.94,31.3020,28.50,28.18,0.985,0.679,7.83,-62.0,16.9,2.03,0.46,93.5,8.66,12.5
"2021/01/31","02:19:13",10.79,43879,31.96,31.2819,28.52,28.20,0.952,0.657,7.83,-61.9,21.9,2.01,0.46,93.5,8.66,12.5
"2021/01/31","02:25:13",10.79,43950,32.02,31.2309,28.56,28.25,0.919,0.634,7.83,-61.8,25.2,2.58,0.59,93.3,8.64,12.4
"2021/01/31","02:31:13",10.78,44066,32.10,31.1530,28.64,28.33,0.889,0.613,7.83,-61.8,30.3,2.85,0.66,93.3,8.64,12.5
"2021/01/31","02:37:14",10.77,44119,32.13,31.1227,28.67,28.37,0.862,0.594,7.83,-61.8,32.2,3.27,0.75,93.2,8.63,12.5
"2021/01/31","02:43:14",10.75,44288,32.23,31.0199,28.78,28.49,0.846,0.583,7.83,-61.6,38.0,3.38,0.77,93.0,8.61,12.5
"2021/01/31","02:49:13",10.75,44287,32.23,31.0227,28.78,28.49,0.827,0.570,7.83,-61.6,38.0,2.54,0.58,92.9,8.60,12.4
"2021/01/31","02:55:13",10.75,44171,32.15,31.1019,28.71,28.40,0.816,0.563,7.83,-61.7,32.5,3.13,0.72,92.9,8.61,12.4
"2021/01/31","03:01:13",10.76,44086,32.09,31.1587,28.65,28.34,0.795,0.548,7.83,-61.7,33.4,2.85,0.65,93.1,8.62,12.5
"2021/01/31","03:07:14",10.76,44101,32.10,31.1482,28.66,28.35,0.794,0.547,7.83,-61.8,34.4,2.75,0.63,93.1,8.62,12.3
"2021/01/31","03:13:14",10.77,43854,31.93,31.3149,28.50,28.18,0.789,0.544,7.83,-61.9,24.4,2.91,0.67,93.2,8.64,12.5
"2021/01/31","03:19:14",10.78,43342,31.56,31.6772,28.17,27.82,0.785,0.542,7.84,-62.1,19.5,2.85,0.65,93.6,8.70,12.5
"2021/01/31","03:25:14",10.81,43221,31.50,31.7371,28.09,27.73,0.790,0.545,7.84,-62.2,15.2,2.80,0.64,93.9,8.72,12.5
"2021/01/31","03:31:14",10.69,42501,30.88,32.3825,27.62,27.22,0.792,0.547,7.84,-62.1,27.7,2.51,0.58,93.5,8.74,12.5
"2021/01/31","03:37:14",10.68,42306,30.73,32.5373,27.49,27.08,0.798,0.551,7.83,-62.0,26.4,2.56,0.59,93.5,8.74,12.5
"2021/01/31","03:43:14",10.64,41965,30.45,32.8326,27.27,26.83,0.790,0.545,7.84,-62.1,25.7,3.35,0.77,93.4,8.76,12.5
"2021/01/31","03:49:14",10.64,41794,30.32,32.9732,27.16,26.71,0.823,0.568,7.84,-62.0,26.9,2.74,0.63,93.4,8.77,12.5
"2021/01/31","03:55:14",10.62,41567,30.15,33.1643,27.01,26.55,0.841,0.581,7.84,-62.0,28.2,2.96,0.68,93.2,8.76,12.4
"2021/01/31","04:01:14",10.62,41456,30.06,33.2564,26.94,26.47,0.862,0.595,7.83,-62.0,28.8,3.20,0.74,93.3,8.77,12.5
"2021/01/31","04:07:14",10.62,41343,29.98,33.3479,26.87,26.40,0.890,0.614,7.83,-62.0,30.4,1.89,0.43,93.2,8.76,12.5
"2021/01/31","04:13:14",10.61,41244,29.90,33.4351,26.80,26.33,0.914,0.631,7.83,-62.0,30.0,3.36,0.77,93.1,8.77,12.7
"2021/01/31","04:19:14",10.60,41157,29.83,33.5127,26.75,26.26,0.933,0.644,7.83,-62.0,29.2,3.33,0.77,92.9,8.75,12.3
"2021/01/31","04:25:14",10.60,41112,29.80,33.5501,26.72,26.23,0.962,0.664,7.83,-62.0,28.7,2.84,0.65,92.9,8.75,12.4
"2021/01/31","04:31:14",10.60,41063,29.76,33.5930,26.69,26.20,0.997,0.688,7.83,-62.0,28.1,2.39,0.55,93.0,8.77,12.5
"2021/01/31","04:37:13",10.60,41026,29.73,33.6261,26.66,26.17,1.024,0.707,7.83,-62.0,28.6,2.89,0.66,93.1,8.77,12.5
"2021/01/31","04:43:14",10.59,40951,29.67,33.6958,26.61,26.12,1.077,0.744,7.83,-62.0,25.0,2.54,0.58,93.1,8.78,12.5
"2021/01/31","04:49:14",10.58,40914,29.64,33.7274,26.59,26.09,1.121,0.774,7.83,-62.0,23.9,2.82,0.65,93.2,8.79,12.7
"2021/01/31","04:55:14",10.57,40806,29.56,33.8260,26.52,26.01,1.157,0.799,7.84,-62.0,20.5,2.21,0.51,93.1,8.78,12.5
"2021/01/31","05:01:14",10.57,40794,29.55,33.8389,26.51,26.01,1.213,0.838,7.83,-62.0,20.1,2.84,0.65,92.8,8.76,12.5
"2021/01/31","05:07:14",10.56,40658,29.44,33.9652,26.42,25.91,1.268,0.876,7.84,-62.0,18.0,2.18,0.50,92.8,8.77,12.5
"2021/01/31","05:13:14",10.55,40611,29.40,34.0075,26.39,25.88,1.320,0.912,7.83,-62.0,17.3,1.48,0.34,92.9,8.78,12.5
"2021/01/31","05:19:14",10.55,40596,29.39,34.0188,26.38,25.87,1.371,0.947,7.83,-61.9,15.3,2.12,0.49,92.8,8.77,12.5
"2021/01/31","05:25:14",10.55,40576,29.37,34.0414,26.37,25.85,1.430,0.988,7.83,-61.9,14.1,1.64,0.38,92.4,8.74,12.5
"2021/01/31","05:31:14",10.55,40535,29.34,34.0776,26.34,25.82,1.484,1.025,7.83,-61.8,13.1,1.50,0.34,92.6,8.75,12.5
"2021/01/31","05:37:14",10.54,40448,29.27,34.1583,26.29,25.76,1.537,1.061,7.84,-62.0,13.1,1.60,0.37,92.6,8.76,12.5
"2021/01/31","05:43:15",10.53,40301,29.16,34.2910,26.19,25.66,1.593,1.100,7.84,-62.1,11.0,2.20,0.50,92.6,8.77,12.3
"2021/01/31","05:49:15",10.53,40263,29.13,34.3255,26.17,25.63,1.654,1.143,7.84,-62.1,9.5,1.60,0.37,92.3,8.74,12.5
"2021/01/31","05:55:14",10.53,40277,29.14,34.3134,26.18,25.64,1.709,1.181,7.84,-62.0,9.0,2.31,0.53,92.2,8.73,12.3
"2021/01/31","06:01:13",10.53,40295,29.15,34.2979,26.19,25.65,1.765,1.220,7.84,-62.1,9.9,1.36,0.31,92.3,8.74,12.5
"2021/01/31","06:07:13",10.52,40319,29.16,34.2824,26.20,25.67,1.837,1.269,7.84,-62.1,9.1,1.74,0.40,92.5,8.76,12.4
"2021/01/31","06:13:14",10.52,40344,29.18,34.2606,26.22,25.69,1.890,1.305,7.84,-62.1,8.4,1.85,0.42,92.6,8.77,12.6
"2021/01/31","06:19:13",10.53,40356,29.20,34.2423,26.23,25.70,1.934,1.336,7.84,-62.1,10.9,1.08,0.25,92.9,8.79,12.5
"2021/01/31","06:25:14",10.53,40343,29.19,34.2560,26.22,25.69,1.995,1.378,7.84,-62.1,9.4,1.99,0.46,92.5,8.76,12.5
"2021/01/31","06:31:14",10.53,40366,29.21,34.2331,26.23,25.70,2.050,1.416,7.84,-62.1,9.8,1.64,0.38,92.2,8.73,12.5
"2021/01/31","06:37:13",10.53,40387,29.22,34.2131,26.25,25.72,2.107,1.455,7.84,-62.1,7.8,1.62,0.37,91.8,8.69,12.4
"2021/01/31","06:43:13",10.54,40424,29.25,34.1800,26.27,25.74,2.166,1.497,7.84,-62.1,9.0,1.43,0.33,91.6,8.67,12.3
"2021/01/31","06:49:13",10.53,40442,29.26,34.1726,26.28,25.76,2.228,1.539,7.84,-62.1,8.7,1.86,0.43,91.7,8.68,12.5
"2021/01/31","06:55:13",10.52,40445,29.26,34.1743,26.28,25.76,2.286,1.579,7.84,-62.1,7.9,2.03,0.46,91.6,8.67,12.4
"2021/01/31","07:01:14",10.52,40447,29.26,34.1737,26.29,25.76,2.333,1.612,7.84,-62.1,7.8,1.41,0.32,91.6,8.67,12.5
"2021/01/31","07:07:13",10.54,40537,29.34,34.0827,26.34,25.82,2.385,1.647,7.83,-62.0,8.1,1.89,0.43,91.2,8.63,12.5
"2021/01/31","07:13:13",10.55,40599,29.39,34.0244,26.38,25.87,2.424,1.674,7.84,-62.1,9.2,2.08,0.48,91.0,8.60,12.4
"2021/01/31","07:19:14",10.62,42324,30.69,32.5756,27.51,27.09,2.466,1.702,7.82,-61.4,28.3,2.63,0.60,91.3,8.55,12.5
"2021/01/31","07:25:14",10.67,45047,32.72,30.5626,29.28,29.02,2.501,1.723,7.83,-61.8,23.6,2.75,0.63,91.2,8.43,12.5
"2021/01/31","07:31:14",10.58,42158,30.54,32.7360,27.40,26.97,2.554,1.763,7.84,-62.2,13.6,2.14,0.49,91.4,8.57,12.5
"2021/01/31","07:37:14",10.61,42656,30.93,32.3273,27.72,27.32,2.604,1.797,7.83,-61.8,17.2,1.45,0.33,92.0,8.60,12.3
"2021/01/31","07:43:14",10.64,43861,31.82,31.4182,28.51,28.18,2.652,1.829,7.83,-61.9,12.7,1.68,0.38,91.9,8.54,12.5
"2021/01/31","07:49:14",10.66,44611,32.39,30.8712,28.99,28.71,2.694,1.857,7.83,-61.8,18.4,2.17,0.50,90.9,8.42,12.5
"2021/01/31","07:55:14",10.66,44851,32.57,30.7028,29.15,28.88,2.740,1.888,7.83,-61.9,15.6,1.77,0.41,91.2,8.44,12.5
"2021/01/31","08:01:14",10.68,45278,32.89,30.4047,29.43,29.19,2.778,1.914,7.83,-61.9,16.1,1.96,0.45,91.4,8.44,12.5
"2021/01/31","08:07:14",10.67,45347,32.93,30.3587,29.47,29.24,2.826,1.947,7.83,-62.0,17.2,2.32,0.53,92.1,8.49,12.5
"2021/01/31","08:13:14",10.68,45526,33.07,30.2377,29.59,29.36,2.862,1.972,7.83,-62.0,15.9,2.24,0.51,91.7,8.45,12.5
"2021/01/31","08:19:14",10.68,45606,33.13,30.1833,29.64,29.42,2.908,2.004,7.83,-62.0,11.3,2.71,0.62,91.9,8.47,12.4
"2021/01/31","08:25:14",10.68,45675,33.18,30.1380,29.68,29.47,2.954,2.035,7.83,-62.0,10.0,1.31,0.30,92.0,8.47,12.5
"2021/01/31","08:31:14",10.68,45473,33.03,30.2725,29.55,29.33,2.983,2.055,7.83,-62.0,10.7,2.08,0.48,91.8,8.46,12.5
"2021/01/31","08:37:14",10.67,45118,32.76,30.5207,29.32,29.07,3.013,2.076,7.84,-62.0,12.6,2.44,0.56,91.8,8.48,12.5
"2021/01/31","08:43:14",10.67,45494,33.04,30.2609,29.57,29.34,3.053,2.104,7.83,-61.9,11.4,0.98,0.22,91.7,8.46,12.5
"2021/01/31","08:49:14",10.67,45575,33.10,30.2073,29.62,29.40,3.096,2.133,7.83,-61.8,10.5,1.26,0.29,91.5,8.43,12.5
"2021/01/31","08:55:14",10.69,46244,33.60,29.7587,30.05,29.88,3.130,2.155,7.83,-61.8,9.5,1.99,0.46,91.5,8.40,12.5
"2021/01/31","09:01:14",10.68,45787,33.26,30.0637,29.76,29.55,3.176,2.188,7.83,-61.9,11.5,1.86,0.43,91.5,8.43,12.5
"2021/01/31","09:07:14",10.68,46012,33.43,29.9135,29.90,29.71,3.209,2.210,7.84,-62.0,12.3,1.81,0.42,91.9,8.46,12.5
"2021/01/31","09:13:14",10.68,46064,33.46,29.8786,29.94,29.75,3.228,2.223,7.84,-62.1,8.6,2.22,0.51,91.9,8.45,12.5
"2021/01/31","09:19:14",10.67,45636,33.14,30.1700,29.66,29.44,3.251,2.240,7.84,-62.1,8.8,1.44,0.33,91.9,8.47,12.5
"2021/01/31","09:25:13",10.64,45611,33.10,30.2073,29.64,29.42,3.266,2.250,7.84,-62.3,6.8,2.30,0.53,91.5,8.44,12.4
"2021/01/31","09:31:14",10.67,45744,33.22,30.0955,29.73,29.52,3.302,2.275,7.84,-62.0,7.3,2.17,0.50,91.8,8.46,12.5
"2021/01/31","09:37:14",10.68,45825,33.28,30.0407,29.78,29.58,3.316,2.284,7.84,-62.0,7.0,2.17,0.50,91.7,8.44,12.5
"2021/01/31","09:43:14",10.69,46375,33.70,29.6717,30.14,29.97,3.329,2.292,7.83,-61.8,8.6,1.50,0.34,91.3,8.38,12.5
"2021/01/31","09:49:14",10.70,46596,33.86,29.5271,30.28,30.13,3.342,2.301,7.83,-61.9,7.6,1.83,0.42,91.0,8.34,12.5
"2021/01/31","09:55:14",10.70,47131,34.25,29.1904,30.63,30.51,3.337,2.297,7.83,-62.0,6.8,1.76,0.40,91.3,8.35,12.5
"2021/01/31","10:01:15",10.69,47254,34.34,29.1182,30.71,30.60,3.336,2.296,7.84,-62.1,6.4,1.62,0.37,91.3,8.35,12.5
"2021/01/31","10:07:14",10.68,47610,34.58,28.9126,30.94,30.86,3.338,2.297,7.84,-62.1,8.6,2.13,0.49,91.5,8.35,12.4
"2021/01/31","10:13:14",10.67,47892,34.78,28.7470,31.13,31.06,3.328,2.290,7.84,-62.2,6.6,1.32,0.30,91.6,8.35,12.5
"2021/01/31","10:19:14",10.67,47963,34.83,28.7043,31.17,31.11,3.327,2.289,7.84,-62.1,6.6,2.52,0.58,91.3,8.33,12.4
"2021/01/31","10:25:14",10.67,48024,34.87,28.6706,31.21,31.16,3.326,2.288,7.84,-62.1,6.1,1.70,0.39,91.3,8.32,12.5
"2021/01/31","10:31:14",10.67,48137,34.96,28.6025,31.28,31.24,3.331,2.291,7.83,-62.0,6.3,0.83,0.19,91.1,8.30,12.4
"2021/01/31","10:37:14",10.67,48170,34.98,28.5857,31.31,31.26,3.318,2.283,7.84,-62.1,8.8,1.62,0.37,91.4,8.33,12.5
"2021/01/31","10:43:14",10.67,48118,34.94,28.6145,31.27,31.22,3.323,2.286,7.84,-62.1,8.4,1.29,0.30,91.4,8.33,12.4
"2021/01/31","10:49:14",10.67,48069,34.91,28.6433,31.24,31.19,3.324,2.287,7.84,-62.1,8.6,1.22,0.28,91.9,8.37,12.3
"2021/01/31","10:55:14",10.68,47886,34.78,28.7478,31.12,31.06,3.312,2.279,7.84,-62.2,7.8,1.54,0.35,91.8,8.37,12.5
"2021/01/31","11:01:14",10.67,48191,34.99,28.5722,31.32,31.28,3.302,2.271,7.84,-62.1,7.8,1.01,0.23,91.7,8.36,12.5
"2021/01/31","11:07:14",10.67,48076,34.91,28.6385,31.24,31.19,3.296,2.268,7.84,-62.2,8.7,1.71,0.39,91.9,8.37,12.6
