"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","mS","Ohm*cm","g/L","ppt","psir","meters","","mV","NTU","ug/L","RFU","%","mg/L","volts"
"2021/03/26","01:49:08",12.95,40394,31.09,32.1608,26.25,25.81,1.415,0.978,7.92,-69.1,4.6,-27.64,-6.35,95.7,8.59,12.3
"2021/03/26","01:55:09",12.95,40415,31.11,32.1401,26.27,25.82,1.466,1.013,7.92,-69.2,6.8,-27.63,-6.35,96.0,8.62,12.3
"2021/03/26","02:01:09",12.95,40401,31.10,32.1522,26.26,25.81,1.511,1.044,7.92,-69.1,4.3,-27.65,-6.35,95.7,8.59,12.4
"2021/03/26","02:07:09",12.95,40387,31.09,32.1613,26.25,25.80,1.565,1.081,7.92,-69.1,3.9,-27.70,-6.36,95.5,8.58,12.3
"2021/03/26","02:13:09",12.95,40396,31.10,32.1547,26.25,25.81,1.626,1.124,7.92,-68.9,4.3,-27.68,-6.36,95.2,8.55,12.3
"2021/03/26","02:19:09",12.95,40356,31.06,32.1870,26.23,25.78,1.668,1.153,7.92,-69.0,3.7,-27.71,-6.37,95.4,8.57,12.3
"2021/03/26","02:25:09",12.94,40238,30.97,32.2890,26.15,25.70,1.722,1.190,7.92,-69.2,4.0,-27.72,-6.37,95.7,8.60,12.4
"2021/03/26","02:31:09",12.94,40343,31.05,32.2053,26.22,25.77,1.792,1.238,7.92,-69.2,3.9,-27.76,-6.38,95.7,8.60,12.3
"2021/03/26","02:37:09",12.94,40323,31.03,32.2230,26.21,25.76,1.839,1.271,7.92,-69.2,3.9,-27.79,-6.39,95.6,8.59,12.3
"2021/03/26","02:43:09",12.94,40319,31.03,32.2255,26.20,25.76,1.891,1.307,7.92,-69.2,3.7,-27.81,-6.39,95.5,8.58,12.3
"2021/03/26","02:49:09",12.94,40332,31.03,32.2174,26.21,25.76,1.949,1.347,7.92,-69.2,4.0,-27.81,-6.39,95.5,8.58,12.3
"2021/03/26","02:55:08",12.93,40319,31.02,32.2316,26.20,25.76,2.011,1.390,7.92,-69.3,3.6,-27.82,-6.39,95.6,8.59,12.3
"2021/03/26","03:01:08",12.93,40308,31.02,32.2377,26.20,25.75,2.065,1.427,7.92,-69.3,3.4,-27.85,-6.40,95.6,8.59,12.3
"2021/03/26","03:07:08",12.93,40348,31.04,32.2113,26.22,25.78,2.117,1.463,7.92,-69.1,3.8,-27.86,-6.40,95.2,8.56,12.3
"2021/03/26","03:13:08",12.93,40300,31.00,32.2494,26.19,25.74,2.161,1.494,7.92,-69.2,3.5,-27.88,-6.41,95.2,8.55,12.4
"2021/03/26","03:19:08",12.92,40327,31.02,32.2306,26.21,25.76,2.209,1.527,7.92,-69.1,3.4,-27.92,-6.41,94.9,8.53,12.4
"2021/03/26","03:25:09",12.91,40354,31.03,32.2184,26.23,25.78,2.250,1.555,7.92,-68.9,3.4,-27.92,-6.41,94.5,8.50,12.3
"2021/03/26","03:31:08",12.91,40317,31.00,32.2484,26.20,25.75,2.306,1.594,7.92,-68.8,3.0,-27.92,-6.41,94.4,8.48,12.3
"2021/03/26","03:37:08",12.91,40557,31.19,32.0601,26.36,25.92,2.346,1.621,7.92,-68.8,4.0,-27.94,-6.42,94.1,8.45,12.3
"2021/03/26","03:43:09",12.27,44815,33.92,29.4803,29.13,28.93,2.385,1.644,7.90,-67.6,7.6,-27.96,-6.42,92.5,8.26,12.3
"2021/03/26","03:49:09",12.79,41604,31.90,31.3466,27.04,26.66,2.426,1.675,7.91,-68.7,3.8,-27.96,-6.42,94.0,8.43,12.3
