"Date","Time","Temp","SpCond","Cond","Resist","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","TDS","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","ppt","psir","meters","","mV","NTU","ug/L","RFU","g/L","%","mg/L","volts"
"2020/12/18","03:19:13",11.70,46310,34542,28.9502,29.98,0.580,0.399,7.78,-57.1,22.2,3.43,0.79,30.10,89.4,8.04,12.4
"2020/12/18","03:25:13",11.68,46195,34440,29.0356,29.89,0.556,0.383,7.79,-57.3,22.6,3.67,0.84,30.02,89.5,8.05,12.5
"2020/12/18","03:31:13",11.67,46087,34354,29.1082,29.82,0.530,0.365,7.79,-57.5,22.7,3.53,0.81,29.95,89.5,8.06,12.5
"2020/12/18","03:37:13",11.67,46075,34347,29.1149,29.81,0.518,0.357,7.79,-57.6,22.4,3.36,0.77,29.94,89.4,8.05,12.5
"2020/12/18","03:43:13",11.65,45843,34158,29.2755,29.64,0.502,0.346,7.80,-57.9,20.4,2.49,0.57,29.79,89.8,8.09,12.4
"2020/12/18","03:49:13",11.67,45896,34208,29.2329,29.68,0.488,0.336,7.80,-57.9,21.7,3.58,0.82,29.83,89.8,8.09,12.5
"2020/12/18","03:55:13",11.68,45965,34272,29.1779,29.73,0.475,0.327,7.80,-57.9,23.0,3.27,0.75,29.87,89.6,8.07,12.5
"2020/12/18","04:01:13",11.66,45730,34081,29.3418,29.56,0.474,0.327,7.80,-58.1,21.6,3.27,0.75,29.72,89.8,8.10,12.5
"2020/12/18","04:07:13",11.64,45456,33855,29.5373,29.36,0.462,0.318,7.81,-58.3,18.6,3.61,0.83,29.54,90.2,8.14,12.5
"2020/12/18","04:13:13",11.63,45171,33639,29.7276,29.16,0.468,0.322,7.81,-58.7,18.3,2.91,0.67,29.36,90.9,8.22,12.5
"2020/12/18","04:19:13",11.63,45111,33595,29.7665,29.11,0.461,0.318,7.81,-58.7,15.8,2.85,0.66,29.32,91.0,8.23,12.4
"2020/12/18","04:25:13",11.67,44921,33486,29.8629,28.98,0.461,0.318,7.82,-59.0,13.9,3.69,0.85,29.19,91.5,8.27,12.4
"2020/12/18","04:31:13",11.67,45037,33574,29.7847,29.06,0.469,0.323,7.82,-58.8,15.2,2.88,0.66,29.27,91.3,8.26,12.5
"2020/12/18","04:37:13",11.69,44832,33431,29.9126,28.92,0.477,0.329,7.82,-59.0,14.3,2.56,0.59,29.14,91.4,8.27,12.5
"2020/12/18","04:43:14",11.69,44744,33366,29.9704,28.85,0.499,0.344,7.82,-59.1,12.5,3.32,0.76,29.08,91.8,8.30,12.3
"2020/12/18","04:49:13",11.72,44019,32854,30.4381,28.34,0.525,0.362,7.82,-59.1,14.4,2.88,0.66,28.61,92.0,8.35,12.6
"2020/12/18","04:55:14",11.72,43400,32395,30.8694,27.90,0.558,0.385,7.82,-59.0,14.4,2.59,0.59,28.21,91.7,8.34,12.5
"2020/12/18","05:01:14",11.73,43680,32610,30.6651,28.10,0.588,0.406,7.82,-58.9,14.5,3.25,0.75,28.39,91.6,8.32,12.5
"2020/12/18","05:07:13",11.76,43955,32836,30.4544,28.29,0.614,0.423,7.82,-59.0,14.4,3.50,0.80,28.57,91.6,8.31,12.4
"2020/12/18","05:13:14",11.74,43925,32801,30.4870,28.27,0.646,0.446,7.82,-59.0,13.6,3.07,0.70,28.55,91.5,8.31,12.5
"2020/12/18","05:19:13",11.73,43772,32680,30.6000,28.16,0.670,0.462,7.82,-59.0,12.7,3.50,0.80,28.45,91.4,8.30,12.6
"2020/12/18","05:25:14",11.73,43664,32601,30.6743,28.09,0.710,0.490,7.82,-59.1,12.0,3.19,0.73,28.38,91.6,8.32,12.4
"2020/12/18","05:31:13",11.70,43231,32247,31.0105,27.78,0.745,0.514,7.82,-59.0,10.4,2.07,0.48,28.10,91.4,8.33,12.4
"2020/12/18","05:37:13",11.69,43222,32234,31.0227,27.77,0.784,0.541,7.82,-59.0,10.4,3.31,0.76,28.09,91.4,8.33,12.5
"2020/12/18","05:43:13",11.69,42747,31877,31.3706,27.43,0.821,0.567,7.82,-59.0,11.1,2.47,0.57,27.78,91.6,8.36,12.4
"2020/12/18","05:49:13",11.68,42675,31815,31.4312,27.38,0.864,0.596,7.82,-59.0,10.3,2.88,0.66,27.73,91.4,8.35,12.4
"2020/12/18","05:55:14",11.69,42748,31884,31.3639,27.43,0.911,0.628,7.82,-58.9,11.1,2.70,0.62,27.78,91.3,8.34,12.3
"2020/12/18","06:01:14",11.68,42673,31819,31.4279,27.38,0.960,0.662,7.82,-58.9,10.4,2.92,0.67,27.73,91.3,8.34,12.5
"2020/12/18","06:07:14",11.68,42669,31812,31.4351,27.38,1.020,0.704,7.82,-58.9,10.1,1.94,0.45,27.73,91.2,8.33,12.5
"2020/12/18","06:13:14",11.69,42661,31815,31.4317,27.37,1.081,0.746,7.81,-58.7,9.4,1.58,0.36,27.73,90.9,8.30,12.5
"2020/12/18","06:19:13",11.69,42645,31801,31.4457,27.36,1.146,0.791,7.81,-58.7,8.5,2.70,0.62,27.71,90.6,8.28,12.4
"2020/12/18","06:25:14",11.69,42643,31798,31.4481,27.36,1.207,0.833,7.81,-58.5,7.2,1.33,0.30,27.71,90.3,8.25,12.5
"2020/12/18","06:31:13",11.68,42636,31792,31.4539,27.35,1.264,0.872,7.81,-58.4,8.8,2.12,0.48,27.71,90.0,8.22,12.4
"2020/12/18","06:37:13",11.68,42647,31798,31.4486,27.36,1.318,0.910,7.82,-58.9,11.4,3.13,0.72,27.72,91.3,8.35,12.5
"2020/12/18","06:43:14",11.68,42642,31792,31.4549,27.36,1.386,0.956,7.81,-58.8,9.4,2.38,0.54,27.71,91.0,8.32,12.5
"2020/12/18","06:49:14",11.67,42670,31804,31.4423,27.38,1.445,0.997,7.81,-58.8,8.1,2.38,0.54,27.73,90.7,8.29,12.5
"2020/12/18","06:55:14",11.67,42715,31837,31.4096,27.41,1.505,1.038,7.82,-58.9,8.7,2.63,0.60,27.76,90.7,8.29,12.5
"2020/12/18","07:01:13",11.68,42684,31823,31.4235,27.39,1.576,1.087,7.82,-59.0,8.1,2.68,0.61,27.74,90.9,8.31,12.5
"2020/12/18","07:07:14",11.68,42638,31792,31.4549,27.35,1.626,1.122,7.82,-59.0,8.3,2.55,0.59,27.71,91.2,8.34,12.5
"2020/12/18","07:13:14",11.68,42644,31794,31.4520,27.36,1.680,1.159,7.82,-58.8,8.7,2.17,0.50,27.71,91.1,8.32,12.4
"2020/12/18","07:19:14",11.68,42659,31809,31.4375,27.37,1.744,1.203,7.82,-58.9,9.4,2.78,0.64,27.72,90.9,8.31,12.5
"2020/12/18","07:25:13",11.69,42667,31817,31.4298,27.38,1.799,1.241,7.82,-59.0,9.5,1.62,0.37,27.73,90.9,8.30,12.5
"2020/12/18","07:31:14",11.68,42676,31816,31.4308,27.38,1.863,1.286,7.81,-58.8,7.6,2.31,0.53,27.73,90.6,8.28,12.4
"2020/12/18","07:37:14",11.66,42774,31878,31.3691,27.45,1.916,1.322,7.82,-58.9,8.1,4.72,1.08,27.80,90.8,8.29,12.5
"2020/12/18","07:43:13",11.67,42817,31917,31.3307,27.48,1.974,1.362,7.81,-58.7,7.1,1.38,0.32,27.83,90.2,8.24,12.4
"2020/12/18","07:49:14",11.68,42863,31957,31.2924,27.51,2.032,1.402,7.81,-58.8,7.2,1.92,0.44,27.86,90.6,8.27,12.5
"2020/12/18","07:55:13",11.67,42900,31975,31.2743,27.54,2.082,1.437,7.82,-59.0,6.5,2.09,0.48,27.88,90.8,8.29,12.5
"2020/12/18","08:01:14",11.66,42930,31991,31.2585,27.56,2.137,1.475,7.81,-58.7,5.8,2.91,0.67,27.90,90.5,8.26,12.5
"2020/12/18","08:07:14",11.70,43661,32567,30.7055,28.08,2.191,1.511,7.81,-58.5,9.5,2.39,0.55,28.38,89.9,8.17,12.5
"2020/12/18","08:13:14",11.70,43957,32791,30.4961,28.29,2.246,1.549,7.81,-58.5,11.7,2.46,0.56,28.57,89.7,8.14,12.4
