sample id,sample mass,salinity,in situ temperature,ETris,pHTris,EHigh,ELow
SAC-1,51.024,27.5,25,-5.9,7,196.12,224.98
BAY-STD-1,51.372,27.53,11.92,-5.9,7,196.12,224.98
SAC-2,51.519,30,25,-5.9,7,196.12,224.98
P-0084-1,51.55,29.8,12,-5.9,7,196.12,224.98
P-0084-2,50.448,29.8,12,-5.9,7,196.12,224.98
