"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.2975,197.5,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.3175,200.1,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.3375,202.5,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.3575,204.6,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.3775,206.6,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.3975,208.3,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.4175,210,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.4375,211.7,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.4575,213.2,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.4775,214.6,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.4975,216,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.5175,217.3,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.5375,218.6,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.5575,219.7,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.5775,220.8,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.5975,221.8,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.6175,222.9,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
1.6375,223.9,21.2,"T6-702-2",50.661,26.87,16.81,-4.4,7,195.66,224.24
