"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.3045,197.5,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.3245,200.1,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.3445,202.6,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.3645,204.6,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.3845,206.5,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.4045,208.3,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.4245,210.1,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.4445,211.7,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.4645,213.2,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.4845,214.6,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.5045,216,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.5245,217.3,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.5445,218.6,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.5645,219.7,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.5845,220.8,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.6045,221.8,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.6245,222.8,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
1.6445,223.8,21.5,"T8-714-1",50.929,27.06,15.22,-4.4,7,195.66,224.24
