"sample_list[i]","AT.25degC","AT.lab.temp","AT.insitu.temp"
"SAC-1",1282.09117712979,1290.02180994424,1282.09117712979
"BaySTD2-1",2260.88972088619,2268.74349355019,2286.74492886369
"BaySTD2-2",2231.0035244408,2237.83664781277,2254.63613805715
"SAC-2",1253.12244399984,1263.8740483762,1253.12244399984
"T16-719-1",2326.79680136756,2349.15836395849,2388.28059647075
"T16-719-2",2329.00323714688,2336.51049585751,2350.8829124502
"T16-719-3",2269.2716409029,2278.3730234808,2292.55087874616
"T8-714-1",2299.59085094045,2307.40284684638,2322.74709473607
"T8-714-2",2300.80332507719,2306.26331913565,2325.10202143135
"T8-714-3",2299.09653554684,2307.60472572263,2322.91617024397
"T21-714-1",2282.54608302586,2290.73645708486,2307.06003584158
"T21-714-2",2281.12861430166,2288.95861193735,2305.63780439467
"T21-714-3",2284.77788569108,2292.65154574703,2308.00632108941
"T6-702-1",2294.32690565401,2302.65638219387,2313.30624690209
"T6-702-2",2300.3023019524,2308.80721885155,2319.10516221579
"T6-702-3",2292.31161461538,2302.76818879222,2312.95872911333
"H2-702-1",2321.28383379134,2330.31898571411,2337.41163133397
"H2-702-2",2320.25500233517,2328.81896931175,2336.93151666598
"H2-702-3",2312.12020282716,2317.77182479324,2328.59362486033
