Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,46,0.6840,,,,184.3,,,0.0000,,,21.0,,0.0,,,,
,47,0.6840,,,,184.3,,,0.0000,,,21.0,,0.0,,,,
,,0.6840,,,,184.0,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,161.3,,,,,21.3,,,,,
,3,,0.0200,,,,,167.9,,0.0200,,,21.3,,,,6.6,
,6,,0.0400,,,,,174.8,,0.0200,,,21.3,,,,6.9,
,9,,0.0600,,,,,180.6,,0.0200,,,21.3,,,,5.8,
,12,,0.0800,,,,,185.2,,0.0200,,,21.3,,,,4.6,
,15,,0.1000,,,,,189.3,,0.0200,,,21.3,,,,4.1,
,18,,0.1200,,,,,192.6,,0.0200,,,21.3,,,,3.3,
,21,,0.1400,,,,,195.7,,0.0200,,,21.3,,,,3.1,
,24,,0.1600,,,,,198.2,,0.0200,,,21.3,,,,2.5,
,27,,0.1800,,,,,200.6,,0.0200,,,21.3,,,,2.4,
,30,,0.2000,,,,,202.7,,0.0200,,,21.3,,,,2.1,
,33,,0.2200,,,,,204.8,,0.0200,,,21.3,,,,2.1,
,36,,0.2400,,,,,206.6,,0.0200,,,21.3,,,,1.8,
,39,,0.2600,,,,,208.4,,0.0200,,,21.3,,,,1.8,
,42,,0.2800,,,,,210.0,,0.0200,,,21.3,,,,1.6,
,45,,0.3000,,,,,211.6,,0.0200,,,21.3,,,,1.6,
,48,,0.3200,,,,,213.0,,0.0200,,,21.3,,,,1.4,
,51,,0.3400,,,,,214.4,,0.0200,,,21.3,,,,1.4,
,54,,0.3600,,,,,215.6,,0.0200,,,21.4,,,,1.2,
,57,,0.3800,,,,,216.8,,0.0200,,,21.4,,,,1.2,
,60,,0.4000,,,,,217.9,,0.0200,,,21.4,,,,1.1,
,64,,0.4200,,,,,219.0,,0.0200,,,21.4,,,,1.1,
,66,,0.4400,,,,,220.0,,0.0200,,,21.4,,,,1.0,
,70,,0.4600,,,,,221.1,,0.0200,,,21.4,,,,1.1,
,73,,0.4800,,,,,222.0,,0.0200,,,21.4,,,,0.9,
,76,,0.5000,,,,,223.0,,0.0200,,,21.4,,,,1.0,
,79,,0.5200,,,,,223.9,,0.0200,,,21.4,,,,0.9,
,82,,0.5400,,,,,224.7,,0.0200,,,21.4,,,,0.8,
,85,,0.5600,,,,,225.5,,0.0200,,,21.4,,,,0.8,
,88,,0.5800,,,,,226.3,,0.0200,,,21.4,,,,0.8,
,91,,0.6000,,,,,227.1,,0.0200,,,21.4,,,,0.8,
,94,,0.6200,,,,,227.8,,0.0200,,,21.4,,,,0.7,
,97,,0.6400,,,,,228.5,,0.0200,,,21.4,,,,0.7,
,100,,0.6600,,,,,229.3,,0.0200,,,21.4,,,,0.8,
,103,,0.6800,,,,,230.0,,0.0200,,,21.4,,,,0.7,
,106,,0.7000,,,,,230.7,,0.0200,,,21.4,,,,0.7,
,109,,0.7200,,,,,231.3,,0.0200,,,21.4,,,,0.6,
,112,,0.7400,,,,,231.9,,0.0200,,,21.4,,,,0.6,
,115,,0.7600,,,,,232.5,,0.0200,,,21.4,,,,0.6,
,118,,0.7800,,,,,233.0,,0.0200,,,21.4,,,,0.5,
,121,,0.8000,,,,,233.6,,0.0200,,,21.4,,,,0.6,
,124,,0.8200,,,,,234.2,,0.0200,,,21.4,,,,0.6,
,127,,0.8400,,,,,234.7,,0.0200,,,21.4,,,,0.5,
,130,,0.8600,,,,,235.2,,0.0200,,,21.4,,,,0.5,
,133,,0.8800,,,,,235.8,,0.0200,,,21.4,,,,0.6,
,136,,0.9000,,,,,236.4,,0.0200,,,21.4,,,,0.6,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 2/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/19",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-60.8,,,,,,21.5,,,,,,,
,2,,,,-60.8,,,,,,21.5,,,,0.0,,,
,3,,,,-60.8,,,,,,21.5,,,,0.0,,,
,4,,,,-60.8,,,,,,21.5,,,,0.0,,,
,5,,,,-60.8,,,,,,21.5,,,,0.0,,,
,6,,,,-60.8,,,,,,21.5,,,,0.0,,,
,7,,,,-60.8,,,,,,21.5,,,,0.0,,,
,8,,,,-60.9,,,,,,21.5,,,,-0.1,,,
,9,,,,-60.9,,,,,,21.5,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 2/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/19",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-60.9,,,,,,21.5,,,,,,
,1,0.0010,,,,-61.0,,,0.0010,,,21.5,,-0.1,,,,
,2,0.0050,,,,-61.0,,,0.0040,,,21.5,,0.0,,,,
,3,0.0110,,,,-60.8,,,0.0060,,,21.5,,0.2,,,,
,4,0.0200,,,,-60.2,,,0.0090,,,21.5,,0.6,,,,
,5,0.0340,,,,-58.8,,,0.0140,,,21.5,,1.4,,,,
,6,0.0555,,,,-56.3,,,0.0215,,,21.5,,2.5,,,,
,7,0.0800,,,,-52.7,,,0.0245,,,21.5,,3.6,,,,
,8,0.1145,,,,-46.6,,,0.0345,,,21.5,,6.1,,,,
,9,0.1570,,,,-38.1,,,0.0425,,,21.5,,8.5,,,,
,10,0.2095,,,,-27.3,,,0.0525,,,21.5,,10.8,,,,
,11,0.2725,,,,-15.6,,,0.0630,,,21.5,,11.7,,,,
,12,0.3485,,,,-5.2,,,0.0760,,,21.5,,10.4,,,,
,13,0.4265,,,,6.9,,,0.0780,,,21.5,,12.1,,,,
,14,0.5265,,,,20.4,,,0.1000,,,21.5,,13.5,,,,
,15,0.6395,,,,36.1,,,0.1130,,,21.5,,15.7,,,,
,16,0.7660,,,,53.3,,,0.1265,,,21.5,,17.2,,,,
,17,0.9035,,,,73.3,,,0.1375,,,21.5,,20.0,,,,
,18,1.0215,,,,99.3,,,0.1180,,,21.5,,26.0,,,,
,19,1.0215,,,,112.6,,,0.0000,,,21.5,,13.3,,,,
,20,1.0240,,,,112.4,,,0.0025,,,21.5,,-0.2,,,,
,21,1.0275,,,,113.8,,,0.0035,,,21.5,,1.4,,,,
,22,1.0340,,,,116.5,,,0.0065,,,21.5,,2.7,,,,
,23,1.0425,,,,120.0,,,0.0085,,,21.5,,3.5,,,,
,24,1.0540,,,,123.9,,,0.0115,,,21.5,,3.9,,,,
,25,1.0660,,,,129.7,,,0.0120,,,21.5,,5.8,,,,
,26,1.0805,,,,135.6,,,0.0145,,,21.5,,5.9,,,,
,27,1.0935,,,,141.5,,,0.0130,,,21.5,,5.9,,,,
,28,1.1030,,,,147.0,,,0.0095,,,21.5,,5.5,,,,
,29,1.1090,,,,151.0,,,0.0060,,,21.5,,4.0,,,,
,30,1.1150,,,,154.2,,,0.0060,,,21.5,,3.2,,,,
,31,1.1210,,,,157.2,,,0.0060,,,21.5,,3.0,,,,
,32,1.1270,,,,160.0,,,0.0060,,,21.5,,2.8,,,,
,33,1.1340,,,,162.4,,,0.0070,,,21.5,,2.4,,,,
,34,1.1410,,,,165.1,,,0.0070,,,21.5,,2.7,,,,
,35,1.1465,,,,167.7,,,0.0055,,,21.5,,2.6,,,,
,36,1.1500,,,,169.6,,,0.0035,,,21.5,,1.9,,,,
,37,1.1525,,,,170.9,,,0.0025,,,21.5,,1.3,,,,
,38,1.1555,,,,171.8,,,0.0030,,,21.5,,0.9,,,,
,39,1.1595,,,,172.9,,,0.0040,,,21.5,,1.1,,,,
,40,1.1645,,,,174.0,,,0.0050,,,21.5,,1.1,,,,
,41,1.1700,,,,175.3,,,0.0055,,,21.5,,1.3,,,,
,42,1.1735,,,,176.4,,,0.0035,,,21.5,,1.1,,,,
,43,1.1755,,,,177.5,,,0.0020,,,21.5,,1.1,,,,
,44,1.1785,,,,178.2,,,0.0030,,,21.5,,0.7,,,,
,45,1.1810,,,,179.0,,,0.0025,,,21.5,,0.8,,,,
