Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/5",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/5",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-73.2,,,,,,19.8,,,,,,,
,2,,,,-73.2,,,,,,19.8,,,,0,,,
,3,,,,-73.2,,,,,,19.8,,,,0,,,
,4,,,,-73.2,,,,,,19.8,,,,0,,,
,5,,,,-73.3,,,,,,19.8,,,,-0.1,,,
,6,,,,-73.3,,,,,,19.8,,,,0,,,
,7,,,,-73.3,,,,,,19.8,,,,0,,,
,8,,,,-73.3,,,,,,19.8,,,,0,,,
,9,,,,-73.4,,,,,,19.8,,,,-0.1,,,
,10,,,,-73.4,,,,,,19.8,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/5",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/5",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-73.5,,,,,,19.8,,,,,,
,1,0.001,,,,-73.6,,,0.001,,,19.8,,-0.1,,,,
,2,0.005,,,,-73.6,,,0.004,,,19.8,,0,,,,
,3,0.011,,,,-73.4,,,0.006,,,19.8,,0.2,,,,
,4,0.02,,,,-72.7,,,0.009,,,19.8,,0.7,,,,
,5,0.034,,,,-71.3,,,0.014,,,19.8,,1.4,,,,
,6,0.0555,,,,-69,,,0.0215,,,19.8,,2.3,,,,
,7,0.08,,,,-65,,,0.0245,,,19.8,,4,,,,
,8,0.1145,,,,-59.3,,,0.0345,,,19.8,,5.7,,,,
,9,0.157,,,,-50.6,,,0.0425,,,19.8,,8.7,,,,
,10,0.2095,,,,-38.7,,,0.0525,,,19.8,,11.9,,,,
,11,0.2725,,,,-25.1,,,0.063,,,19.8,,13.6,,,,
,12,0.348,,,,-13,,,0.0755,,,19.8,,12.1,,,,
,13,0.4265,,,,2.7,,,0.0785,,,19.8,,15.7,,,,
,14,0.526,,,,22.8,,,0.0995,,,19.8,,20.1,,,,
,15,0.64,,,,42.9,,,0.114,,,19.8,,20.1,,,,
,16,0.7665,,,,63.3,,,0.1265,,,19.8,,20.4,,,,
,17,0.9045,,,,89.2,,,0.138,,,19.8,,25.9,,,,
,18,0.933,,,,105.4,,,0.0285,,,19.8,,16.2,,,,
,19,0.935,,,,100.9,,,0.002,,,19.8,,-4.5,,,,
,20,0.9385,,,,98.3,,,0.0035,,,19.8,,-2.6,,,,
,21,0.9445,,,,98.4,,,0.006,,,19.8,,0.1,,,,
,22,0.953,,,,100.7,,,0.0085,,,19.8,,2.3,,,,
,23,0.9655,,,,103.2,,,0.0125,,,19.8,,2.5,,,,
,24,0.98,,,,108,,,0.0145,,,19.8,,4.8,,,,
,25,1,,,,114.2,,,0.02,,,19.8,,6.2,,,,
,26,1.0205,,,,121.4,,,0.0205,,,19.8,,7.2,,,,
,27,1.0425,,,,128.6,,,0.022,,,19.8,,7.2,,,,
,28,1.06,,,,136.3,,,0.0175,,,19.8,,7.7,,,,
,29,1.07,,,,141.5,,,0.01,,,19.8,,5.2,,,,
,30,1.0775,,,,145.1,,,0.0075,,,19.8,,3.6,,,,
,31,1.0855,,,,148.1,,,0.008,,,19.8,,3,,,,
,32,1.0955,,,,152.4,,,0.01,,,19.8,,4.3,,,,
,33,1.104,,,,157.1,,,0.0085,,,19.8,,4.7,,,,
,34,1.108,,,,160.1,,,0.004,,,19.8,,3,,,,
,35,1.1115,,,,162.1,,,0.0035,,,19.8,,2,,,,
,36,1.115,,,,163.5,,,0.0035,,,19.8,,1.4,,,,
,37,1.12,,,,165.2,,,0.005,,,19.8,,1.7,,,,
,38,1.126,,,,167.2,,,0.006,,,19.8,,2,,,,
,39,1.1325,,,,169.3,,,0.0065,,,19.8,,2.1,,,,
,40,1.1375,,,,171.4,,,0.005,,,19.8,,2.1,,,,
,41,1.1405,,,,172.8,,,0.003,,,19.8,,1.4,,,,
,42,1.1425,,,,173.6,,,0.002,,,19.8,,0.8,,,,
,43,1.1455,,,,174.3,,,0.003,,,19.8,,0.7,,,,
,44,1.1495,,,,175.2,,,0.004,,,19.8,,0.9,,,,
,45,1.154,,,,176.3,,,0.0045,,,19.8,,1.1,,,,
,46,1.158,,,,177.3,,,0.004,,,19.8,,1,,,,
,47,1.1605,,,,178.2,,,0.0025,,,19.8,,0.9,,,,
,48,1.1625,,,,178.7,,,0.002,,,19.8,,0.5,,,,
,49,1.165,,,,179.3,,,0.0025,,,19.8,,0.6,,,,
,50,1.1675,,,,179.8,,,0.0025,,,19.8,,0.5,,,,
,51,1.17,,,,180.4,,,0.0025,,,19.8,,0.6,,,,
,52,1.1725,,,,180.9,,,0.0025,,,19.8,,0.5,,,,
,53,1.175,,,,181.4,,,0.0025,,,19.8,,0.5,,,,
,54,1.177,,,,181.7,,,0.002,,,19.8,,0.3,,,,
,55,1.179,,,,182.2,,,0.002,,,19.8,,0.5,,,,
,56,1.1795,,,,182.5,,,0.0005,,,19.8,,0.3,,,,
,57,1.1805,,,,182.7,,,0.001,,,19.8,,0.2,,,,
,58,1.1825,,,,182.8,,,0.002,,,19.8,,0.1,,,,
,59,1.185,,,,183.2,,,0.0025,,,19.8,,0.4,,,,
,60,1.185,,,,183.5,,,0,,,19.8,,0.3,,,,
,61,1.1855,,,,183.6,,,0.0005,,,19.8,,0.1,,,,
,62,1.1895,,,,183.8,,,0.004,,,19.8,,0.2,,,,
,,1.1899,,,,184,,,,,,,,,,,,EP
,63,1.1905,,,,184.3,,,0.001,,,19.8,,0.5,,,,
,64,1.1905,,,,184.5,,,0,,,19.8,,0.2,,,,
,65,1.1905,,,,184.6,,,0,,,19.8,,0.1,,,,
,66,1.1905,,,,184.6,,,0,,,19.8,,0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/5",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/5",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,173.8,,,,,,20.1,,,,,,
,3,0.02,,,,178,,0.02,,,,20.1,,,,4.2,,
,6,0.04,,,,182.9,,0.02,,,,20.2,,,,4.9,,
,9,0.06,,,,187.1,,0.02,,,,20.2,,,,4.2,,
,12,0.08,,,,190.7,,0.02,,,,20.2,,,,3.6,,
,15,0.1,,,,194,,0.02,,,,20.2,,,,3.3,,
,18,0.12,,,,196.9,,0.02,,,,20.2,,,,2.9,,
,21,0.14,,,,199.4,,0.02,,,,20.2,,,,2.5,,
,24,0.16,,,,201.5,,0.02,,,,20.2,,,,2.1,,
,27,0.18,,,,203.5,,0.02,,,,20.2,,,,2,,
,30,0.2,,,,205.4,,0.02,,,,20.2,,,,1.9,,
,33,0.22,,,,207.2,,0.02,,,,20.2,,,,1.8,,
,36,0.24,,,,208.9,,0.02,,,,20.2,,,,1.7,,
,39,0.26,,,,210.5,,0.02,,,,20.2,,,,1.6,,
,42,0.28,,,,212.1,,0.02,,,,20.2,,,,1.6,,
,45,0.3,,,,213.5,,0.02,,,,20.2,,,,1.4,,
