"sample_list[i]","AT.25degC","AT.lab.temp","AT.insitu.temp"
"SAC-1",1989.31610994649,2008.83635470064,1989.31610994649
"BaySTD2-1",2258.99540112997,2267.40240995555,2284.29710808293
"BaySTD2-2",2231.56402066094,2241.82799064168,2258.2001164065
"SAC-2",1863.67837740781,1878.47084481074,1863.67837740781
"T16-719-1",2161.00066544142,2187.54692629455,2216.9841174964
"T16-719-2",2267.57993067274,2276.77244752725,2290.87639373469
"T12-708-1",2238.04301803161,2246.72281207674,2259.18720205704
"T12-708-2",2242.35802318177,2250.47383846402,2263.23267267568
"SAC-3",1652.86862150455,1664.20185684895,1652.86862150455
"T6-708-1",2240.12685831519,2243.61931889238,2257.01843894183
"T6-708-2",2241.23286298151,2247.17127285536,2256.48886040728
"T20-708-1",2233.74051715489,2241.45072613434,2250.91910786647
"T20-708-2",2237.4207480159,2243.54254816573,2254.43208627398
