Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.9,,,,,,21.3,,,,,,,
,2,,,,-76.9,,,,,,21.3,,,,0,,,
,3,,,,-76.9,,,,,,21.3,,,,0,,,
,4,,,,-76.9,,,,,,21.3,,,,0,,,
,5,,,,-77,,,,,,21.3,,,,-0.1,,,
,6,,,,-77,,,,,,21.3,,,,0,,,
,7,,,,-77,,,,,,21.3,,,,0,,,
,8,,,,-77.1,,,,,,21.3,,,,-0.1,,,
,9,,,,-77.1,,,,,,21.3,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,154.3,,,,,,21.8,,,,,,
,3,0.02,,,,162.8,,0.02,,,,21.8,,,,8.5,,
,6,0.04,,,,170.6,,0.02,,,,21.9,,,,7.8,,
,9,0.06,,,,177,,0.02,,,,21.9,,,,6.4,,
,12,0.08,,,,182.3,,0.02,,,,21.9,,,,5.3,,
,15,0.1,,,,186.8,,0.02,,,,21.9,,,,4.5,,
,18,0.12,,,,190.4,,0.02,,,,21.9,,,,3.6,,
,21,0.14,,,,193.7,,0.02,,,,21.9,,,,3.3,,
,24,0.16,,,,196.2,,0.02,,,,21.9,,,,2.5,,
,27,0.18,,,,198.8,,0.02,,,,21.9,,,,2.6,,
,30,0.2,,,,201.1,,0.02,,,,21.9,,,,2.3,,
,33,0.22,,,,203.2,,0.02,,,,21.9,,,,2.1,,
,36,0.24,,,,205.1,,0.02,,,,21.9,,,,1.9,,
,39,0.26,,,,207,,0.02,,,,21.9,,,,1.9,,
,42,0.28,,,,208.7,,0.02,,,,21.9,,,,1.7,,
,45,0.3,,,,210.4,,0.02,,,,21.9,,,,1.7,,
,48,0.32,,,,211.9,,0.02,,,,21.9,,,,1.5,,
,51,0.34,,,,213.3,,0.02,,,,21.9,,,,1.4,,
,54,0.36,,,,214.6,,0.02,,,,21.9,,,,1.3,,
,58,0.38,,,,215.7,,0.02,,,,21.9,,,,1.1,,
,60,0.4,,,,216.9,,0.02,,,,21.9,,,,1.2,,
,64,0.42,,,,218,,0.02,,,,21.9,,,,1.1,,
,66,0.44,,,,219.1,,0.02,,,,21.9,,,,1.1,,
,70,0.46,,,,220.2,,0.02,,,,21.9,,,,1.1,,
,72,0.48,,,,221.2,,0.02,,,,21.9,,,,1,,
,76,0.5,,,,222.2,,0.02,,,,21.9,,,,1,,
,78,0.52,,,,223.2,,0.02,,,,21.9,,,,1,,
,82,0.54,,,,224.1,,0.02,,,,21.9,,,,0.9,,
,85,0.56,,,,224.9,,0.02,,,,21.9,,,,0.8,,
,88,0.58,,,,225.7,,0.02,,,,21.9,,,,0.8,,
,91,0.6,,,,226.5,,0.02,,,,21.9,,,,0.8,,
,94,0.62,,,,227.3,,0.02,,,,21.9,,,,0.8,,
,97,0.64,,,,228.1,,0.02,,,,21.9,,,,0.8,,
,100,0.66,,,,228.8,,0.02,,,,21.9,,,,0.7,,
,103,0.68,,,,229.5,,0.02,,,,21.9,,,,0.7,,
,106,0.7,,,,230.3,,0.02,,,,21.9,,,,0.8,,
,109,0.72,,,,230.9,,0.02,,,,21.9,,,,0.6,,
,112,0.74,,,,231.6,,0.02,,,,21.9,,,,0.7,,
,115,0.76,,,,232.2,,0.02,,,,21.9,,,,0.6,,
,118,0.78,,,,232.8,,0.02,,,,21.9,,,,0.6,,
,121,0.8,,,,233.4,,0.02,,,,21.9,,,,0.6,,
,124,0.82,,,,234,,0.02,,,,21.9,,,,0.6,,
,127,0.84,,,,234.6,,0.02,,,,22,,,,0.6,,
,130,0.86,,,,235.2,,0.02,,,,22,,,,0.6,,
,133,0.88,,,,235.8,,0.02,,,,22,,,,0.6,,
,136,0.9,,,,236.3,,0.02,,,,22,,,,0.5,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-61.9,,,,,,21.9,,,,,,,
,2,,,,-61.9,,,,,,21.9,,,,0,,,
,3,,,,-61.9,,,,,,21.9,,,,0,,,
,4,,,,-61.9,,,,,,21.9,,,,0,,,
,5,,,,-61.9,,,,,,21.9,,,,0,,,
,6,,,,-62,,,,,,21.9,,,,-0.1,,,
,7,,,,-62,,,,,,21.9,,,,0,,,
,8,,,,-62,,,,,,21.9,,,,0,,,
,9,,,,-62,,,,,,21.9,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-62,,,,,,21.9,,,,,,
,1,0.001,,,,-62.1,,,0.001,,,21.9,,-0.1,,,,
,2,0.005,,,,-62.1,,,0.004,,,21.9,,0,,,,
,3,0.011,,,,-61.8,,,0.006,,,21.9,,0.3,,,,
,4,0.0195,,,,-61,,,0.0085,,,21.9,,0.8,,,,
,5,0.0335,,,,-59.6,,,0.014,,,21.9,,1.4,,,,
,6,0.054,,,,-57.1,,,0.0205,,,21.9,,2.5,,,,
,7,0.078,,,,-53.8,,,0.024,,,21.9,,3.3,,,,
,8,0.112,,,,-48.1,,,0.034,,,21.9,,5.7,,,,
,9,0.1535,,,,-39.7,,,0.0415,,,21.9,,8.4,,,,
,10,0.205,,,,-29.6,,,0.0515,,,21.9,,10.1,,,,
,11,0.267,,,,-18,,,0.062,,,21.9,,11.6,,,,
,12,0.3415,,,,-7.8,,,0.0745,,,21.9,,10.2,,,,
,13,0.418,,,,3.9,,,0.0765,,,21.9,,11.7,,,,
,14,0.5165,,,,17.2,,,0.0985,,,21.9,,13.3,,,,
,15,0.628,,,,31.3,,,0.1115,,,21.9,,14.1,,,,
,16,0.753,,,,49.4,,,0.125,,,21.9,,18.1,,,,
,17,0.89,,,,72.4,,,0.137,,,21.9,,23,,,,
,18,1.006,,,,99,,,0.116,,,21.9,,26.6,,,,
,19,1.0065,,,,107.6,,,0.0005,,,21.9,,8.6,,,,
,20,1.0095,,,,105.4,,,0.003,,,21.9,,-2.2,,,,
,21,1.014,,,,106.5,,,0.0045,,,21.9,,1.1,,,,
,22,1.021,,,,108.7,,,0.007,,,21.9,,2.2,,,,
,23,1.031,,,,111.9,,,0.01,,,21.9,,3.2,,,,
,24,1.044,,,,115.6,,,0.013,,,21.9,,3.7,,,,
,25,1.0585,,,,121.8,,,0.0145,,,21.9,,6.2,,,,
,26,1.076,,,,127.8,,,0.0175,,,21.9,,6,,,,
,27,1.0935,,,,134.6,,,0.0175,,,21.9,,6.8,,,,
,28,1.107,,,,141.7,,,0.0135,,,21.9,,7.1,,,,
,29,1.1145,,,,147,,,0.0075,,,21.9,,5.3,,,,
,30,1.1195,,,,149.9,,,0.005,,,22,,2.9,,,,
,31,1.124,,,,152.6,,,0.0045,,,22,,2.7,,,,
,32,1.1305,,,,155.5,,,0.0065,,,22,,2.9,,,,
,33,1.138,,,,158.4,,,0.0075,,,22,,2.9,,,,
,34,1.1455,,,,161.7,,,0.0075,,,22,,3.3,,,,
,35,1.1515,,,,164.2,,,0.006,,,22,,2.5,,,,
,36,1.1565,,,,166.2,,,0.005,,,22,,2,,,,
,37,1.1605,,,,168.1,,,0.004,,,22,,1.9,,,,
