"sample_list[i]","AT.25degC","AT.lab.temp","AT.insitu.temp"
"SAC-1",2027.60022799626,2037.3565778129,2027.60022799626
"BaySTD2-1",2251.73297111194,2258.67353777614,2279.04453909893
"BaySTD2-2",2243.04833848691,2245.78913735067,2268.93984585083
"SAC-2",2074.2815254131,2081.89474928135,2074.2815254131
"H3-719-1",2293.84798867766,2298.60810368168,2317.3699666656
"H3-719-2",2299.66458210315,2303.82193053394,2321.41210444424
"T44-702-1",2275.85056164758,2279.5013183198,2294.52234982122
"T44-702-2",2242.8962162373,2246.5650678004,2273.51088845224
"T4-702-1",2285.84844475645,2285.47790647317,2306.74724055347
"T4-702-2",2280.64577097028,2283.22015803819,2300.37790232537
"T3-702-1",2288.15361543721,2290.22429959077,2309.05127108136
"T3-702-2",2292.47821015739,2293.20516274737,2313.69536729459
