"sample_list[i]","AT.25degC","AT.lab.temp","AT.insitu.temp"
"SAC-1",1688.41855227112,1709.57666178139,1688.41855227112
"BaySTD2-1",2257.6301656682,2271.72893207037,2284.39109525645
"BaySTD2-2",2234.17678620082,2247.89704648578,2260.5727782556
"SAC-2",1586.91235962838,1605.86529340775,1586.91235962838
"T8-714-1",2378.97423431274,2391.25386537227,2402.66599908232
"T8-714-2",2300.78006197935,2312.0893991394,2324.33689478069
"T14-714-1",2284.0635793066,2292.98016734157,2307.52005520136
"T14-714-2",2280.97836434992,2290.50414720781,2302.96547543923
"T38-714-1",2271.18660117289,2281.86592329533,2295.18579629079
"T38-714-2",2270.25987234443,2279.3594098193,2293.4616496128
"SAC-3",1464.32775647991,1477.11029680024,1464.32775647991
"T21-708-1",2230.36285522256,2238.54576910484,2246.45972617473
"T21-708-2",2233.72840283558,2241.38799481957,2249.03714925588
