"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.2845,196.8,21.2,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.3045,199.5,21.2,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.3245,201.9,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.3445,204.1,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.3645,206,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.3845,207.8,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.4045,209.5,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.4245,211.2,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.4445,212.7,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.4645,214.1,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.4845,215.5,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.5045,216.8,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.5245,218.1,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.5445,219.3,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.5645,220.4,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.5845,221.4,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.6045,222.4,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
1.6245,223.4,21.3,"T38-714-2",50.806,27.06,15.28,-4.7,7,194.975,223.5
