sample id,sample mass,salinity,in situ temperature,ETris,pHTris,EHigh,ELow
SAC-1,51.595,30,25,-5,7,196.39,225.16
BaySTD2-1,50.853,30.34,14.11,-5,7,196.39,225.16
BaySTD2-2,50.584,30.34,14.11,-5,7,196.39,225.16
SAC-2,51.419,27,25,-5,7,196.39,225.16
T6-702-1,50.513,26.89,16.77,-5,7,196.39,225.16
T6-702-2,50.866,26.87,16.81,-5,7,196.39,225.16
T27-719-1,49.946,27.35,16.06,-5,7,196.39,225.16
T27-719-2,49.984,27.35,16.06,-5,7,196.39,225.16
T10-719-1,51.082,27.37,16.06,-5,7,196.39,225.16
T10-719-2,51.047,27.37,16.06,-5,7,196.39,225.16
T36-719-1,50.424,27.34,16,-5,7,196.39,225.16
T36-719-2,50.814,27.34,16,-5,7,196.39,225.16
