"sample_list[i]","AT.25degC","AT.lab.temp","AT.insitu.temp"
"SAC-1",2071.56524528238,2082.18091884418,2071.56524528238
"BAYSTD2-1",2257.86325673615,2263.16333126221,2284.96258046652
"BAYSTD2-2",2228.27263801741,2236.32607152165,2254.9301909469
"SAC-2",2009.76651707358,2022.21098008589,2009.76651707358
"T6-702-1",2396.33435988671,2405.77000662044,2418.04353996089
"T6-702-2",2297.77111887463,2306.59268541258,2317.89137800226
"T27-719-1",2309.86947760615,2316.18358567096,2334.0172384766
"T27-719-2",2259.16735481037,2267.37055217432,2281.37827842521
"T10-719-1",2268.69147965308,2277.36712642843,2291.04591500114
"T10-719-2",2265.82646728605,2273.7996432519,2287.95508114596
"T36-719-1",2260.52699158091,2270.10680424682,2282.83663322496
"T36-719-2",2261.12220345431,2270.60220749402,2283.01210220052
