"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.288,197.5,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.308,200.2,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.328,202.6,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.348,204.8,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.368,206.7,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.388,208.4,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.408,210.2,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.428,211.8,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.448,213.3,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.468,214.8,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.488,216.2,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.508,217.5,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.528,218.7,21.5,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.548,219.9,21.6,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.568,220.9,21.6,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.588,222,21.6,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.608,222.9,21.6,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.628,224,21.6,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
1.648,224.9,21.6,"T27-719-1",49.946,27.35,16.06,-5,7,196.39,225.16
