"sample_list[i]","AT.25degC","AT.lab.temp","AT.insitu.temp"
"SAC-1",2053.31557071379,2089.57719667235,2096.18210490442
"P-0023-1",2121.112600692,2155.8528107132,2169.55431888686
"P-0023-2",2114.31409128127,2146.83200570619,2166.21963311795
"P-0023-3",2131.16557757453,2161.11883715737,2177.53759375329
"B-0041-1",2136.70251743918,2167.41101013508,2164.76078770366
"B-0041-2",2137.40287381784,2168.66624069405,2166.00979459388
"B-0041-3",2137.74656961492,2167.20222337175,2168.8789232768
"P-0034-1",2112.59607331625,2141.66715599183,2154.94285838536
"P-0034-2",2105.44065001114,2134.50660654824,2148.72303167288
"P-0034-3",2115.54491941581,2143.19707407634,2155.81539715895
"SAC-2",1798.38269926629,1829.05708906308,1829.05708906308
"BAYSTD1-1",2167.33147326919,2189.24487183051,2228.35072366064
"BAYSTD1-2",2162.09313067891,2188.2531351576,2225.12028118785
"BAYSTD1-3",2163.24111201536,2190.09737260105,2228.51696710277
