"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.474,209,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.494,210.3,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.514,211.4,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.534,212.7,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.554,213.8,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.574,215,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.594,216,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.614,217.1,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.634,218.1,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.654,219,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.674,220,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.694,220.8,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.714,221.6,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.734,222.4,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.754,223.1,18.7,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.774,223.9,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.794,224.6,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.814,225.4,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.834,226.2,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.854,226.8,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.874,227.5,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.894,228.1,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.914,228.6,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.934,229.3,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.954,229.9,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.974,230.5,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
1.994,231.1,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.014,231.7,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.034,232.3,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.054,232.8,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.074,233.2,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.094,233.7,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.114,234.1,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.134,234.6,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.154,235.1,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.174,235.6,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.194,236,18.8,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.214,236.5,18.9,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
2.234,236.9,18.9,"P-0023-2",53.855,27.1,16.4,8.2,7,208.54,237.16
