sample id,sample mass,salinity,in situ temperature,ETris,pHTris,EHigh,ELow
SAC-1,51.241,28,25,-1.3,7,203.38,232.62
P-001-1,53.091,27.951,11.119,-1.3,7,203.38,232.62
P-001-2,54.085,27.951,11.119,-1.3,7,203.38,232.62
P-001-3,55.7,27.951,11.119,-1.3,7,203.38,232.62
