Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,43,6.9125,,,,-116.4,,,0.2515,,,20.2,,0,,,,
,44,7.138,,,,-116.5,,,0.2255,,,20.2,,-0.1,,,,
,45,7.39,,,,-116.4,,,0.252,,,20.2,,0.1,,,,
,46,7.6415,,,,-106.4,,,0.2515,,,20.2,,10,,,,
,47,7.8925,,,,-41.8,,,0.251,,,20.2,,64.6,,,,
,48,8.144,,,,94.9,,,0.2515,,,20.2,,136.7,,,,
,49,8.219,,,,180.5,,,0.075,,,20.2,,85.6,,,,
,50,8.219,,,,211.3,,,0,,,20.2,,30.8,,,,
,51,8.219,,,,218.6,,,0,,,20.2,,7.3,,,,
,52,8.219,,,,220.7,,,0,,,20.2,,2.1,,,,
,52,8.219,,,,221,,,0,,,20.2,,0.3,,,,
,,8.219,,,,191,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,209.7,,,,,,20.6,,,,,,
,3,0.02,,,,210,,0.02,,,,20.6,,,,0.3,,
,6,0.04,,,,211.2,,0.02,,,,20.6,,,,1.2,,
,9,0.06,,,,212.5,,0.02,,,,20.6,,,,1.3,,
,12,0.08,,,,213.7,,0.02,,,,20.6,,,,1.2,,
,15,0.1,,,,215,,0.02,,,,20.6,,,,1.3,,
,18,0.12,,,,216.1,,0.02,,,,20.7,,,,1.1,,
,21,0.14,,,,217.2,,0.02,,,,20.7,,,,1.1,,
,24,0.16,,,,218.3,,0.02,,,,20.7,,,,1.1,,
,27,0.18,,,,219.2,,0.02,,,,20.7,,,,0.9,,
,30,0.2,,,,220.2,,0.02,,,,20.7,,,,1,,
,33,0.22,,,,221.2,,0.02,,,,20.7,,,,1,,
,36,0.24,,,,222.1,,0.02,,,,20.7,,,,0.9,,
,39,0.26,,,,222.9,,0.02,,,,20.7,,,,0.8,,
,42,0.28,,,,223.7,,0.02,,,,20.7,,,,0.8,,
,45,0.3,,,,224.6,,0.02,,,,20.7,,,,0.9,,
,48,0.32,,,,225.4,,0.02,,,,20.7,,,,0.8,,
,51,0.34,,,,226.1,,0.02,,,,20.7,,,,0.7,,
,54,0.36,,,,226.8,,0.02,,,,20.7,,,,0.7,,
,58,0.38,,,,227.4,,0.02,,,,20.7,,,,0.6,,
,60,0.4,,,,228.1,,0.02,,,,20.7,,,,0.7,,
,63,0.42,,,,228.7,,0.02,,,,20.7,,,,0.6,,
,66,0.44,,,,229.4,,0.02,,,,20.7,,,,0.7,,
,69,0.46,,,,230,,0.02,,,,20.7,,,,0.6,,
,72,0.48,,,,230.7,,0.02,,,,20.7,,,,0.7,,
,76,0.5,,,,231.3,,0.02,,,,20.7,,,,0.6,,
,78,0.52,,,,231.9,,0.02,,,,20.7,,,,0.6,,
,82,0.54,,,,232.4,,0.02,,,,20.7,,,,0.5,,
,85,0.56,,,,232.9,,0.02,,,,20.7,,,,0.5,,
,88,0.58,,,,233.4,,0.02,,,,20.7,,,,0.5,,
,91,0.6,,,,234,,0.02,,,,20.7,,,,0.6,,
,94,0.62,,,,234.5,,0.02,,,,20.7,,,,0.5,,
,97,0.64,,,,235,,0.02,,,,20.7,,,,0.5,,
,100,0.66,,,,235.3,,0.02,,,,20.7,,,,0.3,,
,103,0.68,,,,235.9,,0.02,,,,20.7,,,,0.6,,
,106,0.7,,,,236.7,,0.02,,,,20.7,,,,0.8,,
,109,0.72,,,,237.3,,0.02,,,,20.7,,,,0.6,,
,112,0.74,,,,237.8,,0.02,,,,20.7,,,,0.5,,
,115,0.76,,,,238.3,,0.02,,,,20.7,,,,0.5,,
,118,0.78,,,,238.8,,0.02,,,,20.7,,,,0.5,,
,121,0.8,,,,239.3,,0.02,,,,20.7,,,,0.5,,
,124,0.82,,,,239.9,,0.02,,,,20.7,,,,0.6,,
,127,0.84,,,,240.3,,0.02,,,,20.7,,,,0.4,,
,130,0.86,,,,240.8,,0.02,,,,20.7,,,,0.5,,
,133,0.88,,,,241.3,,0.02,,,,20.7,,,,0.5,,
,136,0.9,,,,241.8,,0.02,,,,20.7,,,,0.5,,
,139,0.92,,,,242.3,,0.02,,,,20.7,,,,0.5,,
,142,0.94,,,,242.7,,0.02,,,,20.7,,,,0.4,,
,145,0.96,,,,243.1,,0.02,,,,20.7,,,,0.4,,
,148,0.98,,,,243.5,,0.02,,,,20.7,,,,0.4,,
,151,1,,,,243.9,,0.02,,,,20.7,,,,0.4,,
,154,1.02,,,,244.3,,0.02,,,,20.7,,,,0.4,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 2/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/4",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-66.1,,,,,,21,,,,,,,
,2,,,,-66.1,,,,,,21,,,,0,,,
,3,,,,-66.1,,,,,,21,,,,0,,,
,4,,,,-66.1,,,,,,21,,,,0,,,
,5,,,,-66.1,,,,,,21,,,,0,,,
,6,,,,-66.2,,,,,,21,,,,-0.1,,,
,7,,,,-66.2,,,,,,21,,,,0,,,
,8,,,,-66.2,,,,,,21,,,,0,,,
,9,,,,-66.2,,,,,,21,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 2/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/4",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-66.3,,,,,,21,,,,,,
,1,0.001,,,,-66.3,,,0.001,,,21,,0,,,,
,2,0.005,,,,-66.3,,,0.004,,,21,,0,,,,
,3,0.011,,,,-66.3,,,0.006,,,21,,0,,,,
,4,0.0195,,,,-66.3,,,0.0085,,,21,,0,,,,
,5,0.0335,,,,-66.3,,,0.014,,,21,,0,,,,
,6,0.0535,,,,-65.9,,,0.02,,,21,,0.4,,,,
,7,0.081,,,,-64.9,,,0.0275,,,21,,1,,,,
,8,0.1115,,,,-63.1,,,0.0305,,,21,,1.8,,,,
,9,0.153,,,,-60.2,,,0.0415,,,21,,2.9,,,,
,10,0.2045,,,,-55.9,,,0.0515,,,21,,4.3,,,,
,11,0.2665,,,,-49.4,,,0.062,,,21,,6.5,,,,
,12,0.341,,,,-41.7,,,0.0745,,,21,,7.7,,,,
,13,0.427,,,,-34.6,,,0.086,,,21,,7.1,,,,
,14,0.5165,,,,-26.9,,,0.0895,,,21,,7.7,,,,
,15,0.628,,,,-18.6,,,0.1115,,,21,,8.3,,,,
,16,0.7515,,,,-9.9,,,0.1235,,,21,,8.7,,,,
,17,0.889,,,,2.3,,,0.1375,,,21,,12.2,,,,
,18,1.038,,,,19.8,,,0.149,,,21,,17.5,,,,
,19,1.199,,,,44.2,,,0.161,,,21,,24.4,,,,
,20,1.356,,,,88.2,,,0.157,,,21,,44,,,,
,21,1.428,,,,147.3,,,0.072,,,21,,59.1,,,,
,22,1.428,,,,185.5,,,0,,,21,,38.2,,,,
,23,1.428,,,,196.3,,,0,,,21,,10.8,,,,
,24,1.428,,,,199.1,,,0,,,21,,2.8,,,,
,25,1.428,,,,200.1,,,0,,,21,,1,,,,
,26,1.428,,,,200.3,,,0,,,21.1,,0.2,,,,
,,1.428,,,,191,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 2/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/4",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,202.7,,,,,,21.3,,,,,,
,3,0.02,,,,202.8,,0.02,,,,21.3,,,,0.1,,
,6,0.04,,,,203.9,,0.02,,,,21.3,,,,1.1,,
,9,0.06,,,,205.7,,0.02,,,,21.3,,,,1.8,,
,12,0.08,,,,207.5,,0.02,,,,21.3,,,,1.8,,
,15,0.1,,,,209.4,,0.02,,,,21.3,,,,1.9,,
,18,0.12,,,,211.1,,0.02,,,,21.3,,,,1.7,,
,21,0.14,,,,212.6,,0.02,,,,21.3,,,,1.5,,
,24,0.16,,,,214.1,,0.02,,,,21.3,,,,1.5,,
,27,0.18,,,,215.4,,0.02,,,,21.3,,,,1.3,,
,30,0.2,,,,216.7,,0.02,,,,21.3,,,,1.3,,
,33,0.22,,,,218,,0.02,,,,21.3,,,,1.3,,
,36,0.24,,,,219.3,,0.02,,,,21.3,,,,1.3,,
,39,0.26,,,,220.4,,0.02,,,,21.3,,,,1.1,,
,42,0.28,,,,221.5,,0.02,,,,21.3,,,,1.1,,
,45,0.3,,,,222.6,,0.02,,,,21.3,,,,1.1,,
,48,0.32,,,,223.6,,0.02,,,,21.3,,,,1,,
,51,0.34,,,,224.5,,0.02,,,,21.3,,,,0.9,,
,54,0.36,,,,225.3,,0.02,,,,21.3,,,,0.8,,
,57,0.38,,,,226.1,,0.02,,,,21.3,,,,0.8,,
,60,0.4,,,,227,,0.02,,,,21.3,,,,0.9,,
,64,0.42,,,,227.9,,0.02,,,,21.3,,,,0.9,,
,66,0.44,,,,228.6,,0.02,,,,21.3,,,,0.7,,
,70,0.46,,,,229.4,,0.02,,,,21.3,,,,0.8,,
,72,0.48,,,,230.1,,0.02,,,,21.3,,,,0.7,,
,76,0.5,,,,230.9,,0.02,,,,21.3,,,,0.8,,
,78,0.52,,,,231.5,,0.02,,,,21.3,,,,0.6,,
,82,0.54,,,,232.3,,0.02,,,,21.3,,,,0.8,,
,84,0.56,,,,232.9,,0.02,,,,21.3,,,,0.6,,
,88,0.58,,,,233.5,,0.02,,,,21.3,,,,0.6,,
,91,0.6,,,,234.2,,0.02,,,,21.3,,,,0.7,,
,94,0.62,,,,234.8,,0.02,,,,21.3,,,,0.6,,
,97,0.64,,,,235.4,,0.02,,,,21.3,,,,0.6,,
,100,0.66,,,,236,,0.02,,,,21.3,,,,0.6,,
,103,0.68,,,,236.6,,0.02,,,,21.4,,,,0.6,,
,106,0.7,,,,237.2,,0.02,,,,21.4,,,,0.6,,
,109,0.72,,,,237.7,,0.02,,,,21.4,,,,0.5,,
,112,0.74,,,,238.2,,0.02,,,,21.4,,,,0.5,,
,115,0.76,,,,238.9,,0.02,,,,21.4,,,,0.7,,
,118,0.78,,,,239.5,,0.02,,,,21.4,,,,0.6,,
,121,0.8,,,,240.1,,0.02,,,,21.4,,,,0.6,,
,124,0.82,,,,240.6,,0.02,,,,21.4,,,,0.5,,
,127,0.84,,,,241.2,,0.02,,,,21.4,,,,0.6,,
,130,0.86,,,,241.7,,0.02,,,,21.4,,,,0.5,,
,133,0.88,,,,242.3,,0.02,,,,21.4,,,,0.6,,
,136,0.9,,,,242.8,,0.02,,,,21.4,,,,0.5,,
,139,0.92,,,,243.4,,0.02,,,,21.4,,,,0.6,,
,142,0.94,,,,243.8,,0.02,,,,21.4,,,,0.4,,
,145,0.96,,,,244.3,,0.02,,,,21.4,,,,0.5,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 3/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/4",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-65.6,,,,,,20.8,,,,,,,
,2,,,,-65.6,,,,,,20.8,,,,0,,,
,3,,,,-65.6,,,,,,20.8,,,,0,,,
,4,,,,-65.6,,,,,,20.8,,,,0,,,
,5,,,,-65.6,,,,,,20.8,,,,0,,,
,6,,,,-65.7,,,,,,20.8,,,,-0.1,,,
,7,,,,-65.7,,,,,,20.8,,,,0,,,
,8,,,,-65.7,,,,,,20.8,,,,0,,,
,9,,,,-65.7,,,,,,20.8,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 3/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/4",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-65.7,,,,,,20.8,,,,,,
,1,0.001,,,,-65.7,,,0.001,,,20.8,,0,,,,
,2,0.005,,,,-65.6,,,0.004,,,20.8,,0.1,,,,
,3,0.011,,,,-65.7,,,0.006,,,20.8,,-0.1,,,,
,4,0.02,,,,-65.7,,,0.009,,,20.8,,0,,,,
,5,0.0345,,,,-65.7,,,0.0145,,,20.8,,0,,,,
