sample id,sample mass,salinity,in situ temperature,ETris,pHTris,EHigh,ELow
SAC-1,51.308,27.5,25,-5.4,7,195.465,224.16
BAYSTD1,51.03,27.53,11.92,-5.4,7,195.465,224.16
H2-702-1,49.85,26.41,18.31,-5.4,7,195.465,224.16
H2-702-2,50.667,26.41,18.31,-5.4,7,195.465,224.16
H2-702-3,50.706,26.42,18.31,-5.4,7,195.465,224.16
H3-702-1,51.152,26.86,17.44,-5.4,7,195.465,224.16
H3-702-2,51.295,26.87,17.49,-5.4,7,195.465,224.16
H3-702-3,50.822,26.87,17.5,-5.4,7,195.465,224.16
H2-719-1,50.526,27.33,15.94,-5.4,7,195.465,224.16
H2-719-2,50.263,27.32,15.94,-5.4,7,195.465,224.16
