Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,53,1.1760,,,,181.0,,,0.0020,,,19.4,,0.6,,,,
,54,1.1760,,,,181.4,,,0.0000,,,19.4,,0.4,,,,
,55,1.1780,,,,181.6,,,0.0020,,,19.4,,0.2,,,,
,56,1.1800,,,,182.0,,,0.0020,,,19.4,,0.4,,,,
,57,1.1800,,,,182.3,,,0.0000,,,19.4,,0.3,,,,
,58,1.1805,,,,182.5,,,0.0005,,,19.5,,0.2,,,,
,59,1.1825,,,,182.6,,,0.0020,,,19.5,,0.1,,,,
,60,1.1840,,,,182.9,,,0.0015,,,19.5,,0.3,,,,
,61,1.1840,,,,183.2,,,0.0000,,,19.5,,0.3,,,,
,62,1.1840,,,,183.4,,,0.0000,,,19.5,,0.2,,,,
,63,1.1840,,,,183.4,,,0.0000,,,19.5,,0.0,,,,
,,1.1840,,,,183.0,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 3/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/10",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,183.3,,,,,19.8,,,,,
,3,,0.0200,,,,,186.8,,0.0200,,,19.8,,,,3.5,
,6,,0.0400,,,,,190.5,,0.0200,,,19.8,,,,3.7,
,9,,0.0600,,,,,194.0,,0.0200,,,19.8,,,,3.5,
,12,,0.0800,,,,,197.0,,0.0200,,,19.8,,,,3.0,
,15,,0.1000,,,,,199.8,,0.0200,,,19.8,,,,2.8,
,18,,0.1200,,,,,202.2,,0.0200,,,19.8,,,,2.4,
,21,,0.1400,,,,,204.5,,0.0200,,,19.8,,,,2.3,
,24,,0.1600,,,,,206.4,,0.0200,,,19.8,,,,1.9,
,27,,0.1800,,,,,208.2,,0.0200,,,19.8,,,,1.8,
,30,,0.2000,,,,,209.9,,0.0200,,,19.8,,,,1.7,
,33,,0.2200,,,,,211.6,,0.0200,,,19.8,,,,1.7,
,36,,0.2400,,,,,213.2,,0.0200,,,19.8,,,,1.6,
,39,,0.2600,,,,,214.6,,0.0200,,,19.8,,,,1.4,
,42,,0.2800,,,,,216.1,,0.0200,,,19.8,,,,1.5,
,45,,0.3000,,,,,217.4,,0.0200,,,19.8,,,,1.3,
,48,,0.3200,,,,,218.7,,0.0200,,,19.8,,,,1.3,
,51,,0.3400,,,,,219.9,,0.0200,,,19.8,,,,1.2,
,54,,0.3600,,,,,221.0,,0.0200,,,19.8,,,,1.1,
,57,,0.3800,,,,,222.0,,0.0200,,,19.8,,,,1.0,
,60,,0.4000,,,,,223.0,,0.0200,,,19.8,,,,1.0,
,63,,0.4200,,,,,224.0,,0.0200,,,19.8,,,,1.0,
,66,,0.4400,,,,,225.0,,0.0200,,,19.8,,,,1.0,
,70,,0.4600,,,,,225.9,,0.0200,,,19.8,,,,0.9,
,72,,0.4800,,,,,226.8,,0.0200,,,19.8,,,,0.9,
,76,,0.5000,,,,,227.7,,0.0200,,,19.8,,,,0.9,
,79,,0.5200,,,,,228.6,,0.0200,,,19.8,,,,0.9,
,82,,0.5400,,,,,229.4,,0.0200,,,19.8,,,,0.8,
,85,,0.5600,,,,,230.1,,0.0200,,,19.8,,,,0.7,
,88,,0.5800,,,,,230.9,,0.0200,,,19.8,,,,0.8,
,91,,0.6000,,,,,231.5,,0.0200,,,19.8,,,,0.6,
,94,,0.6200,,,,,232.3,,0.0200,,,19.8,,,,0.8,
,97,,0.6400,,,,,233.0,,0.0200,,,19.8,,,,0.7,
,100,,0.6600,,,,,233.6,,0.0200,,,19.8,,,,0.6,
,103,,0.6800,,,,,234.4,,0.0200,,,19.8,,,,0.8,
,106,,0.7000,,,,,235.0,,0.0200,,,19.8,,,,0.6,
,109,,0.7200,,,,,235.7,,0.0200,,,19.8,,,,0.7,
,112,,0.7400,,,,,236.3,,0.0200,,,19.8,,,,0.6,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 4/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 4/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-41.3,,,,,,19.6,,,,,,,
,2,,,,-41.3,,,,,,19.6,,,,0.0,,,
,3,,,,-41.3,,,,,,19.6,,,,0.0,,,
,4,,,,-41.3,,,,,,19.6,,,,0.0,,,
,5,,,,-41.4,,,,,,19.6,,,,-0.1,,,
,6,,,,-41.4,,,,,,19.6,,,,0.0,,,
,7,,,,-41.4,,,,,,19.6,,,,0.0,,,
,8,,,,-41.4,,,,,,19.6,,,,0.0,,,
,9,,,,-41.4,,,,,,19.6,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 4/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 4/10",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-41.5,,,,,,19.6,,,,,,
,1,0.0010,,,,-41.5,,,0.0010,,,19.6,,0.0,,,,
,2,0.0050,,,,-41.5,,,0.0040,,,19.6,,0.0,,,,
,3,0.0110,,,,-41.2,,,0.0060,,,19.6,,0.3,,,,
,4,0.0200,,,,-40.1,,,0.0090,,,19.6,,1.1,,,,
,5,0.0345,,,,-37.6,,,0.0145,,,19.6,,2.5,,,,
,6,0.0555,,,,-33.3,,,0.0210,,,19.6,,4.3,,,,
,7,0.0800,,,,-27.9,,,0.0245,,,19.6,,5.4,,,,
,8,0.1145,,,,-19.1,,,0.0345,,,19.6,,8.8,,,,
,9,0.1570,,,,-9.0,,,0.0425,,,19.6,,10.1,,,,
,10,0.2090,,,,1.7,,,0.0520,,,19.6,,10.7,,,,
,11,0.2720,,,,12.6,,,0.0630,,,19.6,,10.9,,,,
,12,0.3475,,,,24.4,,,0.0755,,,19.6,,11.8,,,,
,13,0.4260,,,,35.5,,,0.0785,,,19.6,,11.1,,,,
,14,0.5250,,,,50.6,,,0.0990,,,19.6,,15.1,,,,
,15,0.6380,,,,65.3,,,0.1130,,,19.6,,14.7,,,,
,16,0.7625,,,,82.7,,,0.1245,,,19.6,,17.4,,,,
,17,0.8295,,,,92.3,,,0.0670,,,19.6,,9.6,,,,
,18,0.8465,,,,88.1,,,0.0170,,,19.6,,-4.2,,,,
,19,0.8655,,,,88.6,,,0.0190,,,19.6,,0.5,,,,
,20,0.8930,,,,93.5,,,0.0275,,,19.6,,4.9,,,,
,21,0.9230,,,,99.7,,,0.0300,,,19.6,,6.2,,,,
,22,0.9555,,,,107.1,,,0.0325,,,19.6,,7.4,,,,
,23,0.9895,,,,113.2,,,0.0340,,,19.6,,6.1,,,,
,24,1.0245,,,,122.4,,,0.0350,,,19.6,,9.2,,,,
,25,1.0430,,,,129.7,,,0.0185,,,19.6,,7.3,,,,
,26,1.0510,,,,130.9,,,0.0080,,,19.6,,1.2,,,,
,27,1.0625,,,,133.2,,,0.0115,,,19.6,,2.3,,,,
,28,1.0780,,,,138.4,,,0.0155,,,19.6,,5.2,,,,
,29,1.0915,,,,144.2,,,0.0135,,,19.6,,5.8,,,,
,30,1.0990,,,,148.0,,,0.0075,,,19.6,,3.8,,,,
,31,1.1070,,,,151.9,,,0.0080,,,19.6,,3.9,,,,
,32,1.1150,,,,155.3,,,0.0080,,,19.6,,3.4,,,,
,33,1.1225,,,,159.2,,,0.0075,,,19.6,,3.9,,,,
,34,1.1270,,,,161.7,,,0.0045,,,19.6,,2.5,,,,
,35,1.1310,,,,163.5,,,0.0040,,,19.6,,1.8,,,,
,36,1.1350,,,,165.1,,,0.0040,,,19.6,,1.6,,,,
,37,1.1400,,,,166.7,,,0.0050,,,19.6,,1.6,,,,
,38,1.1460,,,,168.9,,,0.0060,,,19.6,,2.2,,,,
,39,1.1505,,,,170.6,,,0.0045,,,19.6,,1.7,,,,
,40,1.1530,,,,171.8,,,0.0025,,,19.6,,1.2,,,,
,41,1.1560,,,,172.7,,,0.0030,,,19.6,,0.9,,,,
,42,1.1595,,,,173.5,,,0.0035,,,19.6,,0.8,,,,
,43,1.1640,,,,174.6,,,0.0045,,,19.6,,1.1,,,,
,44,1.1680,,,,175.7,,,0.0040,,,19.6,,1.1,,,,
,45,1.1710,,,,176.7,,,0.0030,,,19.6,,1.0,,,,
,46,1.1735,,,,177.4,,,0.0025,,,19.6,,0.7,,,,
,47,1.1755,,,,177.9,,,0.0020,,,19.6,,0.5,,,,
,48,1.1785,,,,178.5,,,0.0030,,,19.7,,0.6,,,,
,49,1.1810,,,,179.2,,,0.0025,,,19.7,,0.7,,,,
,50,1.1830,,,,179.8,,,0.0020,,,19.7,,0.6,,,,
,51,1.1855,,,,180.4,,,0.0025,,,19.7,,0.6,,,,
,52,1.1875,,,,181.0,,,0.0020,,,19.7,,0.6,,,,
,53,1.1875,,,,181.3,,,0.0000,,,19.7,,0.3,,,,
,54,1.1900,,,,181.5,,,0.0025,,,19.7,,0.2,,,,
,55,1.1915,,,,182.0,,,0.0015,,,19.7,,0.5,,,,
,56,1.1915,,,,182.3,,,0.0000,,,19.7,,0.3,,,,
,57,1.1930,,,,182.4,,,0.0015,,,19.7,,0.1,,,,
,58,1.1950,,,,182.7,,,0.0020,,,19.7,,0.3,,,,
,59,1.1950,,,,183.0,,,0.0000,,,19.7,,0.3,,,,
,60,1.1950,,,,183.2,,,0.0000,,,19.7,,0.2,,,,
,61,1.1950,,,,183.2,,,0.0000,,,19.7,,0.0,,,,
,62,1.1950,,,,183.2,,,0.0000,,,19.7,,0.0,,,,
,,1.1950,,,,183.0,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 4/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 4/10",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,183.3,,,,,20.0,,,,,
,3,,0.0200,,,,,186.7,,0.0200,,,20.0,,,,3.4,
,6,,0.0400,,,,,190.2,,0.0200,,,20.0,,,,3.5,
,9,,0.0600,,,,,193.6,,0.0200,,,20.0,,,,3.4,
,12,,0.0800,,,,,196.6,,0.0200,,,20.0,,,,3.0,
,15,,0.1000,,,,,199.3,,0.0200,,,20.0,,,,2.7,
,18,,0.1200,,,,,201.7,,0.0200,,,20.0,,,,2.4,
,21,,0.1400,,,,,203.9,,0.0200,,,20.0,,,,2.2,
,24,,0.1600,,,,,205.8,,0.0200,,,20.0,,,,1.9,
,27,,0.1800,,,,,207.5,,0.0200,,,20.0,,,,1.7,
,30,,0.2000,,,,,209.3,,0.0200,,,20.0,,,,1.8,
,33,,0.2200,,,,,210.9,,0.0200,,,20.0,,,,1.6,
,36,,0.2400,,,,,212.4,,0.0200,,,20.0,,,,1.5,
,39,,0.2600,,,,,213.9,,0.0200,,,20.0,,,,1.5,
,42,,0.2800,,,,,215.3,,0.0200,,,20.0,,,,1.4,
,45,,0.3000,,,,,216.6,,0.0200,,,20.0,,,,1.3,
,48,,0.3200,,,,,217.9,,0.0200,,,20.0,,,,1.3,
,51,,0.3400,,,,,219.0,,0.0200,,,20.0,,,,1.1,
,54,,0.3600,,,,,220.1,,0.0200,,,20.0,,,,1.1,
,57,,0.3800,,,,,221.1,,0.0200,,,20.0,,,,1.0,
,60,,0.4000,,,,,222.1,,0.0200,,,20.0,,,,1.0,
,63,,0.4200,,,,,223.1,,0.0200,,,20.0,,,,1.0,
,66,,0.4400,,,,,224.0,,0.0200,,,20.0,,,,0.9,
,70,,0.4600,,,,,225.0,,0.0200,,,20.0,,,,1.0,
,72,,0.4800,,,,,225.9,,0.0200,,,20.0,,,,0.9,
,76,,0.5000,,,,,226.8,,0.0200,,,20.0,,,,0.9,
,78,,0.5200,,,,,227.6,,0.0200,,,20.0,,,,0.8,
,82,,0.5400,,,,,228.4,,0.0200,,,20.0,,,,0.8,
,84,,0.5600,,,,,229.2,,0.0200,,,20.0,,,,0.8,
,88,,0.5800,,,,,229.9,,0.0200,,,20.0,,,,0.7,
,90,,0.6000,,,,,230.5,,0.0200,,,20.0,,,,0.6,
,94,,0.6200,,,,,231.3,,0.0200,,,20.0,,,,0.8,
,97,,0.6400,,,,,232.0,,0.0200,,,20.0,,,,0.7,
,100,,0.6600,,,,,232.7,,0.0200,,,20.0,,,,0.7,
,103,,0.6800,,,,,233.3,,0.0200,,,20.0,,,,0.6,
,106,,0.7000,,,,,233.9,,0.0200,,,20.0,,,,0.6,
,109,,0.7200,,,,,234.6,,0.0200,,,20.0,,,,0.7,
,112,,0.7400,,,,,235.2,,0.0200,,,20.1,,,,0.6,
,115,,0.7600,,,,,235.8,,0.0200,,,20.1,,,,0.6,
,118,,0.7800,,,,,236.3,,0.0200,,,20.1,,,,0.5,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 5/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 5/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-38.2,,,,,,19.8,,,,,,,
,2,,,,-38.2,,,,,,19.8,,,,0.0,,,
,3,,,,-38.2,,,,,,19.8,,,,0.0,,,
,4,,,,-38.2,,,,,,19.8,,,,0.0,,,
,5,,,,-38.2,,,,,,19.8,,,,0.0,,,
,6,,,,-38.3,,,,,,19.8,,,,-0.1,,,
,7,,,,-38.3,,,,,,19.8,,,,0.0,,,
,8,,,,-38.3,,,,,,19.8,,,,0.0,,,
,9,,,,-38.3,,,,,,19.8,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 5/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 5/10",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-38.4,,,,,,19.8,,,,,,
,1,0.0010,,,,-38.4,,,0.0010,,,19.8,,0.0,,,,
,2,0.0050,,,,-38.4,,,0.0040,,,19.8,,0.0,,,,
,3,0.0110,,,,-38.1,,,0.0060,,,19.8,,0.3,,,,
,4,0.0200,,,,-37.0,,,0.0090,,,19.8,,1.1,,,,
,5,0.0340,,,,-34.7,,,0.0140,,,19.8,,2.3,,,,
,6,0.0555,,,,-29.9,,,0.0215,,,19.8,,4.8,,,,
,7,0.0800,,,,-24.0,,,0.0245,,,19.8,,5.9,,,,
,8,0.1145,,,,-15.1,,,0.0345,,,19.8,,8.9,,,,
,9,0.1570,,,,-4.8,,,0.0425,,,19.8,,10.3,,,,
,10,0.2090,,,,4.6,,,0.0520,,,19.8,,9.4,,,,
,11,0.2715,,,,16.0,,,0.0625,,,19.8,,11.4,,,,
,12,0.3470,,,,28.6,,,0.0755,,,19.8,,12.6,,,,
,13,0.4255,,,,37.0,,,0.0785,,,19.8,,8.4,,,,
,14,0.5255,,,,48.0,,,0.1000,,,19.8,,11.0,,,,
,15,0.6385,,,,60.8,,,0.1130,,,19.8,,12.8,,,,
,16,0.7635,,,,79.0,,,0.1250,,,19.8,,18.2,,,,
,17,0.8540,,,,92.5,,,0.0905,,,19.8,,13.5,,,,
,18,0.8725,,,,91.7,,,0.0185,,,19.9,,-0.8,,,,
,19,0.8935,,,,91.7,,,0.0210,,,19.9,,0.0,,,,
,20,0.9225,,,,96.1,,,0.0290,,,19.9,,4.4,,,,
,21,0.9555,,,,102.6,,,0.0330,,,19.9,,6.5,,,,
,22,0.9905,,,,107.8,,,0.0350,,,19.9,,5.2,,,,
,23,1.0280,,,,114.2,,,0.0375,,,19.9,,6.4,,,,
,24,1.0670,,,,123.6,,,0.0390,,,19.9,,9.4,,,,
,25,1.0835,,,,131.7,,,0.0165,,,19.9,,8.1,,,,
,26,1.0875,,,,130.7,,,0.0040,,,19.9,,-1.0,,,,
,27,1.0930,,,,129.8,,,0.0055,,,19.9,,-0.9,,,,
,28,1.1010,,,,132.1,,,0.0080,,,19.9,,2.3,,,,
,29,1.1120,,,,136.8,,,0.0110,,,19.9,,4.7,,,,
,30,1.1245,,,,141.0,,,0.0125,,,19.9,,4.2,,,,
,31,1.1355,,,,146.0,,,0.0110,,,19.9,,5.0,,,,
,32,1.1460,,,,151.1,,,0.0105,,,19.9,,5.1,,,,
,33,1.1525,,,,154.7,,,0.0065,,,19.9,,3.6,,,,
,34,1.1580,,,,157.6,,,0.0055,,,19.9,,2.9,,,,
,35,1.1635,,,,159.7,,,0.0055,,,19.9,,2.1,,,,
,36,1.1700,,,,161.5,,,0.0065,,,19.9,,1.8,,,,
,37,1.1765,,,,163.9,,,0.0065,,,19.9,,2.4,,,,
,38,1.1835,,,,166.3,,,0.0070,,,19.9,,2.4,,,,
,39,1.1885,,,,168.7,,,0.0050,,,19.9,,2.4,,,,
,40,1.1915,,,,170.0,,,0.0030,,,19.9,,1.3,,,,
,41,1.1945,,,,171.0,,,0.0030,,,19.9,,1.0,,,,
,42,1.1985,,,,172.0,,,0.0040,,,19.9,,1.0,,,,
,43,1.2025,,,,173.4,,,0.0040,,,19.9,,1.4,,,,
,44,1.2060,,,,174.5,,,0.0035,,,19.9,,1.1,,,,
,45,1.2090,,,,175.4,,,0.0030,,,19.9,,0.9,,,,
,46,1.2115,,,,176.3,,,0.0025,,,19.9,,0.9,,,,
,47,1.2140,,,,177.2,,,0.0025,,,19.9,,0.9,,,,
,48,1.2165,,,,177.8,,,0.0025,,,19.9,,0.6,,,,
,49,1.2185,,,,178.5,,,0.0020,,,19.9,,0.7,,,,
,50,1.2210,,,,179.1,,,0.0025,,,19.9,,0.6,,,,
,51,1.2235,,,,179.7,,,0.0025,,,19.9,,0.6,,,,
,52,1.2260,,,,180.4,,,0.0025,,,19.9,,0.7,,,,
,53,1.2275,,,,180.9,,,0.0015,,,19.9,,0.5,,,,
,54,1.2280,,,,181.2,,,0.0005,,,19.9,,0.3,,,,
,55,1.2300,,,,181.4,,,0.0020,,,19.9,,0.2,,,,
,56,1.2315,,,,181.9,,,0.0015,,,19.9,,0.5,,,,
,57,1.2315,,,,182.2,,,0.0000,,,19.9,,0.3,,,,
,58,1.2330,,,,182.3,,,0.0015,,,19.9,,0.1,,,,
,59,1.2350,,,,182.7,,,0.0020,,,19.9,,0.4,,,,
,60,1.2350,,,,183.0,,,0.0000,,,19.9,,0.3,,,,
,61,1.2350,,,,183.1,,,0.0000,,,19.9,,0.1,,,,
,62,1.2350,,,,183.2,,,0.0000,,,19.9,,0.1,,,,
,63,1.2350,,,,183.3,,,0.0000,,,19.9,,0.1,,,,
,63,1.2350,,,,183.2,,,0.0000,,,19.9,,-0.1,,,,
,,1.2350,,,,183.0,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 5/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 5/10",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,183.2,,,,,20.2,,,,,
,3,,0.0200,,,,,186.7,,0.0200,,,20.2,,,,3.5,
,6,,0.0400,,,,,190.2,,0.0200,,,20.2,,,,3.5,
,9,,0.0600,,,,,193.6,,0.0200,,,20.2,,,,3.4,
,12,,0.0800,,,,,196.6,,0.0200,,,20.2,,,,3.0,
,15,,0.1000,,,,,199.3,,0.0200,,,20.2,,,,2.7,
,18,,0.1200,,,,,201.7,,0.0200,,,20.2,,,,2.4,
,21,,0.1400,,,,,203.9,,0.0200,,,20.3,,,,2.2,
,24,,0.1600,,,,,205.8,,0.0200,,,20.3,,,,1.9,
,27,,0.1800,,,,,207.5,,0.0200,,,20.3,,,,1.7,
,30,,0.2000,,,,,209.3,,0.0200,,,20.3,,,,1.8,
,33,,0.2200,,,,,210.9,,0.0200,,,20.3,,,,1.6,
,36,,0.2400,,,,,212.4,,0.0200,,,20.3,,,,1.5,
,39,,0.2600,,,,,213.9,,0.0200,,,20.3,,,,1.5,
,42,,0.2800,,,,,215.3,,0.0200,,,20.3,,,,1.4,
,45,,0.3000,,,,,216.6,,0.0200,,,20.3,,,,1.3,
,48,,0.3200,,,,,217.9,,0.0200,,,20.3,,,,1.3,
,51,,0.3400,,,,,219.0,,0.0200,,,20.3,,,,1.1,
,54,,0.3600,,,,,220.1,,0.0200,,,20.3,,,,1.1,
,57,,0.3800,,,,,221.0,,0.0200,,,20.3,,,,0.9,
,60,,0.4000,,,,,222.1,,0.0200,,,20.3,,,,1.1,
,63,,0.4200,,,,,223.1,,0.0200,,,20.3,,,,1.0,
,66,,0.4400,,,,,224.0,,0.0200,,,20.3,,,,0.9,
,70,,0.4600,,,,,225.0,,0.0200,,,20.3,,,,1.0,
,72,,0.4800,,,,,225.9,,0.0200,,,20.3,,,,0.9,
,76,,0.5000,,,,,226.8,,0.0200,,,20.3,,,,0.9,
,78,,0.5200,,,,,227.6,,0.0200,,,20.3,,,,0.8,
,82,,0.5400,,,,,228.4,,0.0200,,,20.3,,,,0.8,
,84,,0.5600,,,,,229.1,,0.0200,,,20.3,,,,0.7,
,88,,0.5800,,,,,229.9,,0.0200,,,20.3,,,,0.8,
,90,,0.6000,,,,,230.5,,0.0200,,,20.3,,,,0.6,
,94,,0.6200,,,,,231.3,,0.0200,,,20.3,,,,0.8,
,97,,0.6400,,,,,231.9,,0.0200,,,20.3,,,,0.6,
,100,,0.6600,,,,,232.7,,0.0200,,,20.3,,,,0.8,
,103,,0.6800,,,,,233.4,,0.0200,,,20.3,,,,0.7,
,106,,0.7000,,,,,234.0,,0.0200,,,20.3,,,,0.6,
,109,,0.7200,,,,,234.7,,0.0200,,,20.3,,,,0.7,
,112,,0.7400,,,,,235.3,,0.0200,,,20.3,,,,0.6,
,115,,0.7600,,,,,235.8,,0.0200,,,20.3,,,,0.5,
,118,,0.7800,,,,,236.3,,0.0200,,,20.3,,,,0.5,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 6/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 6/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-54.7,,,,,,20.1,,,,,,,
,2,,,,-54.7,,,,,,20.1,,,,0.0,,,
,3,,,,-54.7,,,,,,20.1,,,,0.0,,,
,4,,,,-54.7,,,,,,20.1,,,,0.0,,,
,5,,,,-54.7,,,,,,20.1,,,,0.0,,,
,6,,,,-54.7,,,,,,20.1,,,,0.0,,,
,7,,,,-54.7,,,,,,20.1,,,,0.0,,,
,8,,,,-54.7,,,,,,20.1,,,,0.0,,,
,9,,,,-54.7,,,,,,20.1,,,,0.0,,,
,10,,,,-54.7,,,,,,20.1,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 6/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 6/10",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-54.8,,,,,,20.1,,,,,,
,1,0.0010,,,,-54.8,,,0.0010,,,20.1,,0.0,,,,
,2,0.0050,,,,-54.8,,,0.0040,,,20.1,,0.0,,,,
,3,0.0110,,,,-54.5,,,0.0060,,,20.1,,0.3,,,,
,4,0.0200,,,,-53.8,,,0.0090,,,20.1,,0.7,,,,
,5,0.0340,,,,-51.9,,,0.0140,,,20.1,,1.9,,,,
,6,0.0550,,,,-48.5,,,0.0210,,,20.1,,3.4,,,,
,7,0.0800,,,,-43.8,,,0.0250,,,20.1,,4.7,,,,
,8,0.1145,,,,-36.3,,,0.0345,,,20.1,,7.5,,,,
,9,0.1570,,,,-26.1,,,0.0425,,,20.1,,10.2,,,,
,10,0.2090,,,,-13.7,,,0.0520,,,20.1,,12.4,,,,
,11,0.2720,,,,-1.1,,,0.0630,,,20.1,,12.6,,,,
,12,0.3475,,,,12.0,,,0.0755,,,20.1,,13.1,,,,
,13,0.4255,,,,25.7,,,0.0780,,,20.1,,13.7,,,,
,14,0.5250,,,,39.6,,,0.0995,,,20.1,,13.9,,,,
,15,0.6385,,,,54.0,,,0.1135,,,20.1,,14.4,,,,
,16,0.7640,,,,72.4,,,0.1255,,,20.1,,18.4,,,,
,17,0.8850,,,,91.5,,,0.1210,,,20.1,,19.1,,,,
,18,0.8965,,,,94.1,,,0.0115,,,20.1,,2.6,,,,
,19,0.9040,,,,90.5,,,0.0075,,,20.1,,-3.6,,,,
,20,0.9160,,,,89.9,,,0.0120,,,20.1,,-0.6,,,,
,21,0.9325,,,,92.2,,,0.0165,,,20.1,,2.3,,,,
,22,0.9550,,,,96.7,,,0.0225,,,20.1,,4.5,,,,
,23,0.9820,,,,101.7,,,0.0270,,,20.1,,5.0,,,,
,24,1.0115,,,,109.1,,,0.0295,,,20.1,,7.4,,,,
,25,1.0385,,,,114.6,,,0.0270,,,20.1,,5.5,,,,
,26,1.0700,,,,124.0,,,0.0315,,,20.1,,9.4,,,,
,27,1.0865,,,,131.0,,,0.0165,,,20.1,,7.0,,,,
,28,1.0935,,,,131.0,,,0.0070,,,20.1,,0.0,,,,
,29,1.1025,,,,132.7,,,0.0090,,,20.1,,1.7,,,,
,30,1.1155,,,,136.5,,,0.0130,,,20.1,,3.8,,,,
,31,1.1280,,,,142.6,,,0.0125,,,20.1,,6.1,,,,
,32,1.1375,,,,147.5,,,0.0095,,,20.1,,4.9,,,,
,33,1.1445,,,,150.9,,,0.0070,,,20.1,,3.4,,,,
,34,1.1520,,,,154.4,,,0.0075,,,20.1,,3.5,,,,
,35,1.1595,,,,157.5,,,0.0075,,,20.1,,3.1,,,,
,36,1.1665,,,,160.0,,,0.0070,,,20.1,,2.5,,,,
,37,1.1730,,,,162.5,,,0.0065,,,20.1,,2.5,,,,
,38,1.1790,,,,164.7,,,0.0060,,,20.1,,2.2,,,,
,39,1.1855,,,,166.8,,,0.0065,,,20.1,,2.1,,,,
,40,1.1905,,,,169.0,,,0.0050,,,20.1,,2.2,,,,
,41,1.1940,,,,170.5,,,0.0035,,,20.1,,1.5,,,,
,42,1.1970,,,,171.5,,,0.0030,,,20.1,,1.0,,,,
,43,1.2005,,,,172.6,,,0.0035,,,20.1,,1.1,,,,
,44,1.2045,,,,173.7,,,0.0040,,,20.1,,1.1,,,,
,45,1.2090,,,,175.1,,,0.0045,,,20.1,,1.4,,,,
,46,1.2115,,,,176.1,,,0.0025,,,20.1,,1.0,,,,
,47,1.2140,,,,177.0,,,0.0025,,,20.2,,0.9,,,,
,48,1.2165,,,,177.6,,,0.0025,,,20.2,,0.6,,,,
,49,1.2190,,,,178.3,,,0.0025,,,20.2,,0.7,,,,
,50,1.2210,,,,179.0,,,0.0020,,,20.2,,0.7,,,,
,51,1.2235,,,,179.6,,,0.0025,,,20.2,,0.6,,,,
,52,1.2260,,,,180.2,,,0.0025,,,20.2,,0.6,,,,
,53,1.2280,,,,180.7,,,0.0020,,,20.2,,0.5,,,,
