"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","mS","Ohm*cm","g/L","ppt","psir","meters","","mV","NTU","ug/L","RFU","%","mg/L","volts"
"2021/02/15","21:37:28",12.17,23978,18.10,55.2349,15.58,14.56,4.137,2.883,7.83,-68.1,9.5,1.81,0.37,80.3,7.87,14.3
"2021/02/15","21:43:28",12.17,23783,17.95,55.6900,15.45,14.43,4.167,2.904,7.84,-68.3,7.7,2.19,0.46,80.3,7.88,14.2
"2021/02/15","21:49:29",12.17,23631,17.84,56.0481,15.36,14.33,4.204,2.930,7.84,-68.4,7.8,1.78,0.37,80.1,7.86,14.3
"2021/02/15","21:55:29",12.22,23201,17.53,57.0267,15.08,14.05,4.227,2.947,7.84,-68.4,7.6,2.40,0.50,80.7,7.92,14.4
"2021/02/15","22:01:29",12.24,23126,17.48,57.1795,15.03,14.00,4.241,2.957,7.84,-68.5,7.3,2.11,0.44,81.1,7.96,14.3
"2021/02/15","22:07:29",12.33,23007,17.43,57.3476,14.95,13.92,4.271,2.978,7.85,-68.8,7.4,1.89,0.39,81.8,8.02,14.4
"2021/02/15","22:13:29",12.23,24430,18.47,54.1340,15.87,14.86,4.292,2.991,7.85,-68.8,7.6,1.73,0.36,81.4,7.95,14.4
"2021/02/15","22:19:29",12.20,23978,18.11,55.1976,15.58,14.56,4.312,3.005,7.84,-68.6,7.9,2.21,0.46,81.2,7.95,14.4
"2021/02/15","22:25:29",12.23,24410,18.45,54.1784,15.86,14.85,4.324,3.013,7.84,-68.5,6.2,2.27,0.47,81.2,7.93,14.4
"2021/02/15","22:31:29",12.18,24315,18.36,54.4608,15.80,14.79,4.336,3.021,7.84,-68.5,6.9,1.48,0.31,81.0,7.92,14.4
"2021/02/15","22:37:29",12.13,25910,19.54,51.1718,16.84,15.84,4.359,3.035,7.84,-68.4,6.2,1.36,0.28,80.8,7.86,14.4
"2021/02/15","22:43:29",12.14,25803,19.46,51.3682,16.77,15.77,4.360,3.036,7.84,-68.5,7.0,1.62,0.34,80.2,7.80,14.4
"2021/02/15","22:49:29",12.15,25773,19.44,51.4185,16.75,15.75,4.361,3.037,7.84,-68.5,8.3,2.12,0.44,80.5,7.83,14.4
