"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Chl","Chl","Turbid+","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","g/L","ppt","psir","meters","","mV","ug/L","RFU","NTU","%","mg/L","volts"
"2021/01/13","20:13:29",11.05,34517,25322,39.4917,22.43,21.66,5.065,3.510,7.80,-63.1,0.71,0.14,11.8,93.7,8.99,14.4
"2021/01/13","20:19:29",11.07,34783,25529,39.1714,22.60,21.84,5.067,3.511,7.80,-63.3,0.73,0.15,10.9,94.0,9.01,14.5
"2021/01/13","20:25:29",11.08,34853,25589,39.0787,22.65,21.89,5.067,3.511,7.80,-63.4,0.51,0.11,10.6,93.7,8.97,14.5
"2021/01/13","20:31:29",11.20,35182,25905,38.6021,22.86,22.12,5.055,3.503,7.81,-63.7,0.67,0.14,7.7,94.7,9.04,14.5
"2021/01/13","20:37:29",11.20,35807,26366,37.9273,23.27,22.55,5.047,3.496,7.81,-63.7,1.02,0.21,8.1,93.6,8.91,14.4
"2021/01/13","20:43:29",11.18,36751,27049,36.9701,23.88,23.20,5.036,3.486,7.81,-63.7,0.65,0.13,12.1,93.9,8.90,14.5
"2021/01/13","20:49:29",11.18,37385,27516,36.3423,24.30,23.64,5.020,3.474,7.81,-63.8,0.51,0.11,11.6,93.3,8.82,14.5
"2021/01/13","20:55:29",11.14,38021,27958,35.7679,24.71,24.09,5.007,3.464,7.81,-63.8,0.39,0.08,11.7,92.9,8.77,14.5
"2021/01/13","21:01:29",11.17,37586,27659,36.1550,24.43,23.78,4.992,3.454,7.81,-64.0,0.62,0.13,10.3,93.6,8.84,14.5
"2021/01/13","21:07:29",11.12,38257,28118,35.5642,24.86,24.25,4.964,3.434,7.81,-63.9,0.56,0.11,14.1,92.5,8.73,14.4
"2021/01/13","21:13:29",11.18,37156,27346,36.5681,24.15,23.49,4.945,3.423,7.81,-64.1,0.66,0.14,9.9,93.4,8.84,14.5
"2021/01/13","21:19:29",11.16,37484,27573,36.2676,24.36,23.71,4.915,3.401,7.81,-64.1,0.58,0.12,10.7,93.3,8.83,14.5
"2021/01/13","21:25:29",11.14,38087,28004,35.7093,24.75,24.13,4.888,3.382,7.81,-64.0,0.54,0.11,8.4,92.5,8.72,14.5
"2021/01/13","21:31:29",11.16,37996,27953,35.7748,24.69,24.07,4.858,3.361,7.81,-64.1,0.57,0.12,10.3,93.0,8.78,14.5
"2021/01/13","21:37:29",11.17,38147,28070,35.6248,24.79,24.18,4.832,3.342,7.82,-64.3,0.56,0.11,8.6,92.5,8.72,14.5
"2021/01/13","21:43:29",11.18,38490,28333,35.2945,25.01,24.41,4.787,3.311,7.82,-64.5,0.62,0.13,13.4,93.3,8.77,14.7
"2021/01/13","21:49:29",11.19,38627,28437,35.1660,25.10,24.51,4.741,3.279,7.82,-64.6,0.27,0.06,9.2,93.7,8.81,14.4
"2021/01/13","21:55:29",11.20,38351,28240,35.4104,24.92,24.32,4.695,3.248,7.82,-64.6,0.26,0.05,7.2,93.7,8.82,14.3
"2021/01/13","22:01:29",11.20,38330,28229,35.4251,24.91,24.30,4.645,3.213,7.82,-64.6,0.12,0.02,8.1,92.3,8.68,14.4
